ebin, xs
1.0000e-05, 2.5159e+01
1.0625e-05, 2.4408e+01
1.1250e-05, 2.3720e+01
1.1875e-05, 2.3087e+01
1.2500e-05, 2.2503e+01
1.3750e-05, 2.1456e+01
1.5000e-05, 2.0542e+01
1.6250e-05, 1.9736e+01
1.7500e-05, 1.9018e+01
1.8750e-05, 1.8373e+01
2.0000e-05, 1.7790e+01
2.1875e-05, 1.7010e+01
2.3750e-05, 1.6325e+01
2.5625e-05, 1.5717e+01
2.7500e-05, 1.5171e+01
2.9375e-05, 1.4679e+01
3.1250e-05, 1.4232e+01
3.3125e-05, 1.3823e+01
3.5000e-05, 1.3448e+01
3.8750e-05, 1.2781e+01
4.2500e-05, 1.2204e+01
4.6250e-05, 1.1699e+01
5.0000e-05, 1.1251e+01
5.3125e-05, 1.0915e+01
5.6250e-05, 1.0608e+01
5.9375e-05, 1.0325e+01
6.2500e-05, 1.0064e+01
6.8750e-05, 9.5952e+00
7.5000e-05, 9.1867e+00
8.1250e-05, 8.8263e+00
8.7500e-05, 8.5052e+00
9.3750e-05, 8.2168e+00
1.0000e-04, 7.9559e+00
1.0625e-04, 7.7184e+00
1.1250e-04, 7.5009e+00
1.1875e-04, 7.3009e+00
1.2500e-04, 7.1160e+00
1.3750e-04, 6.7848e+00
1.5000e-04, 6.4960e+00
1.6250e-04, 6.2411e+00
1.7500e-04, 6.0141e+00
1.8750e-04, 5.8102e+00
2.0000e-04, 5.6257e+00
2.1875e-04, 5.3792e+00
2.3750e-04, 5.1625e+00
2.5625e-04, 4.9700e+00
2.7500e-04, 4.7976e+00
2.9375e-04, 4.6420e+00
3.1250e-04, 4.5005e+00
3.3125e-04, 4.3713e+00
3.5000e-04, 4.2526e+00
3.8750e-04, 4.0416e+00
4.2500e-04, 3.8592e+00
4.6250e-04, 3.6994e+00
5.0000e-04, 3.5580e+00
5.3125e-04, 3.4518e+00
5.6250e-04, 3.3545e+00
5.9375e-04, 3.2650e+00
6.2500e-04, 3.1824e+00
6.8750e-04, 3.0343e+00
7.5000e-04, 2.9051e+00
8.1250e-04, 2.7911e+00
8.7500e-04, 2.6896e+00
9.3750e-04, 2.5984e+00
1.0000e-03, 2.5159e+00
1.0625e-03, 2.4408e+00
1.1250e-03, 2.3720e+00
1.1875e-03, 2.3087e+00
1.2500e-03, 2.2503e+00
1.3750e-03, 2.1455e+00
1.5000e-03, 2.0542e+00
1.6250e-03, 1.9736e+00
1.7500e-03, 1.9018e+00
1.8750e-03, 1.8373e+00
2.0000e-03, 1.7790e+00
2.1875e-03, 1.7010e+00
2.3750e-03, 1.6325e+00
2.5625e-03, 1.5716e+00
2.7500e-03, 1.5171e+00
2.9375e-03, 1.4679e+00
3.1250e-03, 1.4232e+00
3.3125e-03, 1.3823e+00
3.5000e-03, 1.3448e+00
3.8750e-03, 1.2781e+00
4.2500e-03, 1.2204e+00
4.6250e-03, 1.1698e+00
5.0000e-03, 1.1251e+00
5.3125e-03, 1.0915e+00
5.6250e-03, 1.0608e+00
5.9375e-03, 1.0325e+00
