ebin, xs
1.0000e-05, 1.9423e-01
1.0625e-05, 1.8843e-01
1.1250e-05, 1.8312e-01
1.1875e-05, 1.7823e-01
1.2500e-05, 1.7372e-01
1.3750e-05, 1.6564e-01
1.5000e-05, 1.5858e-01
1.6250e-05, 1.5236e-01
1.7500e-05, 1.4682e-01
1.8750e-05, 1.4184e-01
2.0000e-05, 1.3734e-01
2.1875e-05, 1.3132e-01
2.3750e-05, 1.2603e-01
2.5625e-05, 1.2133e-01
2.7500e-05, 1.1712e-01
2.9375e-05, 1.1332e-01
3.1250e-05, 1.0987e-01
3.3125e-05, 1.0672e-01
3.5000e-05, 1.0382e-01
3.8750e-05, 9.8667e-02
4.2500e-05, 9.4213e-02
4.6250e-05, 9.0313e-02
5.0000e-05, 8.6860e-02
5.3125e-05, 8.4267e-02
5.6250e-05, 8.1893e-02
5.9375e-05, 7.9708e-02
6.2500e-05, 7.7690e-02
6.8750e-05, 7.4075e-02
7.5000e-05, 7.0921e-02
8.1250e-05, 6.8139e-02
8.7500e-05, 6.5660e-02
9.3750e-05, 6.3434e-02
1.0000e-04, 6.1419e-02
1.0625e-04, 5.9586e-02
1.1250e-04, 5.7907e-02
1.1875e-04, 5.6362e-02
1.2500e-04, 5.4935e-02
1.3750e-04, 5.2379e-02
1.5000e-04, 5.0149e-02
1.6250e-04, 4.8181e-02
1.7500e-04, 4.6429e-02
1.8750e-04, 4.4854e-02
2.0000e-04, 4.3430e-02
2.1875e-04, 4.1527e-02
2.3750e-04, 3.9854e-02
2.5625e-04, 3.8368e-02
2.7500e-04, 3.7037e-02
2.9375e-04, 3.5836e-02
3.1250e-04, 3.4744e-02
3.3125e-04, 3.3746e-02
3.5000e-04, 3.2830e-02
3.8750e-04, 3.1201e-02
4.2500e-04, 2.9793e-02
4.6250e-04, 2.8559e-02
5.0000e-04, 2.7468e-02
5.3125e-04, 2.6647e-02
5.6250e-04, 2.5897e-02
5.9375e-04, 2.5206e-02
6.2500e-04, 2.4568e-02
6.8750e-04, 2.3424e-02
7.5000e-04, 2.2427e-02
8.1250e-04, 2.1547e-02
8.7500e-04, 2.0764e-02
9.3750e-04, 2.0059e-02
1.0000e-03, 1.9423e-02
1.0625e-03, 1.8843e-02
1.1250e-03, 1.8312e-02
1.1875e-03, 1.7823e-02
1.2500e-03, 1.7372e-02
1.3750e-03, 1.6564e-02
1.5000e-03, 1.5858e-02
1.6250e-03, 1.5236e-02
1.7500e-03, 1.4682e-02
1.8750e-03, 1.4184e-02
2.0000e-03, 1.3734e-02
2.1875e-03, 1.3132e-02
2.3750e-03, 1.2603e-02
2.5625e-03, 1.2133e-02
2.7500e-03, 1.1712e-02
2.9375e-03, 1.1332e-02
3.1250e-03, 1.0987e-02
3.3125e-03, 1.0671e-02
3.5000e-03, 1.0382e-02
3.8750e-03, 9.8666e-03
4.2500e-03, 9.4212e-03
4.6250e-03, 9.0312e-03
5.0000e-03, 8.6859e-03
5.3125e-03, 8.4266e-03
5.6250e-03, 8.1892e-03
5.9375e-03, 7.9707e-03
6.2500e-03, 7.7689e-03
6.8750e-03, 7.4073e-03
7.5000e-03, 7.0920e-03
8.1250e-03, 6.8137e-03
8.7500e-03, 6.5659e-03
9.3750e-03, 6.3432e-03
1.0000e-02, 6.1418e-03
1.0625e-02, 5.9584e-03
1.1250e-02, 5.7905e-03
1.1875e-02, 5.6361e-03
1.2500e-02, 5.4934e-03
1.3750e-02, 5.2377e-03
1.5000e-02, 5.0147e-03
1.6250e-02, 4.8180e-03
1.7500e-02, 4.6428e-03
1.8750e-02, 4.4853e-03
2.0000e-02, 4.3429e-03
2.1325e-02, 4.2059e-03
2.2650e-02, 4.0810e-03
2.3975e-02, 3.9666e-03
2.5300e-02, 3.8614e-03
2.6844e-02, 3.7487e-03
2.8387e-02, 3.6454e-03
3.1475e-02, 3.4620e-03
3.4563e-02, 3.3037e-03
3.7650e-02, 3.1653e-03
4.0738e-02, 3.0430e-03
4.3825e-02, 2.9338e-03
4.6913e-02, 2.8356e-03
5.0000e-02, 2.7467e-03
5.6250e-02, 2.5896e-03
6.2500e-02, 2.4567e-03
6.8750e-02, 2.3424e-03
7.5000e-02, 2.2427e-03
8.1250e-02, 2.1547e-03
8.7500e-02, 2.0763e-03
1.0000e-01, 1.9421e-03
1.1250e-01, 1.8311e-03
1.2500e-01, 1.7372e-03
1.3750e-01, 1.6564e-03
1.5000e-01, 1.5859e-03
1.6250e-01, 1.5237e-03
1.7500e-01, 1.4682e-03
2.0000e-01, 1.3734e-03
2.1875e-01, 1.3132e-03
2.3750e-01, 1.2603e-03
2.7500e-01, 1.1712e-03
3.1250e-01, 1.0986e-03
3.5000e-01, 1.0382e-03
3.8750e-01, 9.8680e-04
4.2500e-01, 9.4226e-04
5.0000e-01, 8.6883e-04
6.2500e-01, 7.7711e-04
7.5000e-01, 7.0927e-04
8.7500e-01, 6.5685e-04
1.0000e+00, 6.1457e-04
1.2500e+00, 5.4950e-04
1.5000e+00, 5.0152e-04
1.7500e+00, 4.6445e-04
2.0000e+00, 4.3448e-04
2.3750e+00, 3.9872e-04
2.7500e+00, 3.7062e-04
3.5000e+00, 3.2840e-04
4.2500e+00, 2.9796e-04
5.0000e+00, 2.7472e-04
6.2500e+00, 2.4572e-04
7.5000e+00, 2.2428e-04
8.7500e+00, 2.0766e-04
1.0000e+01, 1.9427e-04
1.2500e+01, 1.7373e-04
1.5000e+01, 1.5858e-04
1.7500e+01, 1.4682e-04
2.0000e+01, 1.3734e-04
2.7500e+01, 1.1713e-04
3.5000e+01, 1.0381e-04
4.2500e+01, 9.4200e-05
5.0000e+01, 8.6849e-05
6.2500e+01, 7.7679e-05
7.5000e+01, 7.0907e-05
8.7500e+01, 6.5649e-05
1.0000e+02, 6.1411e-05
1.2500e+02, 5.4924e-05
1.5000e+02, 5.0137e-05
1.7500e+02, 4.6418e-05
2.0000e+02, 4.3421e-05
2.7500e+02, 3.7030e-05
3.5000e+02, 3.2822e-05
4.2500e+02, 2.9784e-05
5.0000e+02, 2.7463e-05
6.2500e+02, 2.5160e-05
7.5000e+02, 2.3426e-05
8.7500e+02, 2.2053e-05
1.0000e+03, 2.0929e-05
1.2500e+03, 1.9148e-05
1.5000e+03, 1.7807e-05
1.7500e+03, 1.6746e-05
2.0000e+03, 1.5879e-05
2.7500e+03, 1.4444e-05
3.5000e+03, 1.3444e-05
4.2500e+03, 1.2690e-05
5.0000e+03, 1.2092e-05
6.2500e+03, 1.1717e-05
7.5000e+03, 1.1419e-05
8.7500e+03, 1.1173e-05
1.0000e+04, 1.0965e-05
1.2500e+04, 1.0911e-05
1.5000e+04, 1.0867e-05
1.7500e+04, 1.0830e-05
2.0000e+04, 1.0798e-05
2.2500e+04, 1.1092e-05
2.5000e+04, 1.1362e-05
2.7500e+04, 1.1612e-05
3.0000e+04, 1.1844e-05
3.2500e+04, 1.2063e-05
3.5000e+04, 1.2269e-05
4.0000e+04, 1.2648e-05
4.5000e+04, 1.2993e-05
5.0000e+04, 1.3309e-05
6.2500e+04, 1.4413e-05
7.5000e+04, 1.5383e-05
8.7500e+04, 1.6254e-05
1.0000e+05, 1.7048e-05
1.2500e+05, 1.8397e-05
1.3000e+05, 1.8645e-05
1.3500e+05, 1.8887e-05
1.4000e+05, 1.9123e-05
1.4250e+05, 1.9239e-05
1.4500e+05, 1.9354e-05
1.5000e+05, 1.9579e-05
1.5100e+05, 1.9624e-05
1.5200e+05, 1.9668e-05
1.5290e+05, 1.9708e-05
1.5400e+05, 1.9756e-05
1.5500e+05, 1.9800e-05
1.5600e+05, 1.9843e-05
1.5800e+05, 1.9930e-05
1.6000e+05, 2.0015e-05
1.6500e+05, 2.0227e-05
1.7000e+05, 2.0434e-05
1.7500e+05, 2.0637e-05
1.8000e+05, 2.0837e-05
2.0000e+05, 2.1600e-05
2.2500e+05, 2.1651e-05
2.5000e+05, 2.1697e-05
2.7500e+05, 2.1738e-05
3.0000e+05, 2.1776e-05
3.2500e+05, 2.1811e-05
3.5000e+05, 2.1843e-05
3.7500e+05, 2.1874e-05
4.0000e+05, 2.1902e-05
4.2500e+05, 2.1929e-05
4.5000e+05, 2.1954e-05
4.7500e+05, 2.1977e-05
5.0000e+05, 2.2000e-05
5.2500e+05, 2.2007e-05
5.5000e+05, 2.2014e-05
5.7500e+05, 2.2020e-05
6.0000e+05, 2.2026e-05
6.2500e+05, 2.2032e-05
6.5000e+05, 2.2038e-05
6.7500e+05, 2.2043e-05
7.0000e+05, 2.2048e-05
7.2500e+05, 2.2054e-05
7.5000e+05, 2.2058e-05
7.7500e+05, 2.2063e-05
8.0000e+05, 2.2068e-05
8.2500e+05, 2.2072e-05
8.5000e+05, 2.2077e-05
8.7500e+05, 2.2081e-05
9.0000e+05, 2.2085e-05
9.2500e+05, 2.2089e-05
9.5000e+05, 2.2093e-05
9.7500e+05, 2.2096e-05
1.0000e+06, 2.2100e-05
1.0500e+06, 2.2101e-05
1.1000e+06, 2.2102e-05
1.1500e+06, 2.2103e-05
1.2000e+06, 2.2104e-05
1.2500e+06, 2.2105e-05
1.3000e+06, 2.2106e-05
1.3500e+06, 2.2107e-05
1.4000e+06, 2.2108e-05
1.4500e+06, 2.2109e-05
1.5000e+06, 2.2109e-05
1.5500e+06, 2.2110e-05
1.6000e+06, 2.2111e-05
1.6500e+06, 2.2112e-05
1.6800e+06, 2.2112e-05
1.7000e+06, 2.2112e-05
1.7100e+06, 2.2113e-05
1.7200e+06, 2.2113e-05
1.7300e+06, 2.2113e-05
1.7360e+06, 2.2113e-05
1.7400e+06, 2.2113e-05
1.7500e+06, 2.2113e-05
1.7600e+06, 2.2113e-05
1.7700e+06, 2.2113e-05
1.7800e+06, 2.2114e-05
1.7900e+06, 2.2114e-05
1.8000e+06, 2.2114e-05
1.8200e+06, 2.2114e-05
1.8500e+06, 2.2114e-05
1.9000e+06, 2.2115e-05
1.9500e+06, 2.2116e-05
2.0000e+06, 2.2116e-05
2.0250e+06, 2.2117e-05
2.0500e+06, 2.2117e-05
2.0550e+06, 2.2117e-05
2.0600e+06, 2.2117e-05
2.0625e+06, 2.2117e-05
2.0650e+06, 2.2117e-05
2.0662e+06, 2.2117e-05
2.0675e+06, 2.2117e-05
2.0688e+06, 2.2117e-05
2.0700e+06, 2.2117e-05
2.0709e+06, 2.2117e-05
2.0718e+06, 2.2117e-05
2.0726e+06, 2.2117e-05
2.0731e+06, 2.2117e-05
2.0735e+06, 2.2117e-05
2.0752e+06, 2.2117e-05
2.0761e+06, 2.2117e-05
2.0770e+06, 2.2117e-05
2.0778e+06, 2.2117e-05
2.0781e+06, 2.2117e-05
2.0785e+06, 2.2117e-05
2.0792e+06, 2.2117e-05
2.0800e+06, 2.2117e-05
2.0812e+06, 2.2117e-05
2.0819e+06, 2.2117e-05
2.0825e+06, 2.2117e-05
2.0831e+06, 2.2117e-05
2.0838e+06, 2.2117e-05
2.0850e+06, 2.2117e-05
2.0862e+06, 2.2117e-05
2.0875e+06, 2.2117e-05
2.0888e+06, 2.2117e-05
2.0900e+06, 2.2117e-05
2.0925e+06, 2.2117e-05
2.0950e+06, 2.2117e-05
2.1000e+06, 2.2117e-05
2.1050e+06, 2.2117e-05
2.1100e+06, 2.2117e-05
2.1200e+06, 2.2118e-05
2.1400e+06, 2.2118e-05
2.1600e+06, 2.2118e-05
2.1800e+06, 2.2118e-05
2.2000e+06, 2.2118e-05
2.2200e+06, 2.2119e-05
2.2400e+06, 2.2119e-05
2.2600e+06, 2.2119e-05
2.2800e+06, 2.2119e-05
2.3000e+06, 2.2120e-05
2.3200e+06, 2.2120e-05
2.3400e+06, 2.2120e-05
2.3600e+06, 2.2120e-05
2.3800e+06, 2.2120e-05
2.4000e+06, 2.2120e-05
2.4200e+06, 2.2121e-05
2.4400e+06, 2.2121e-05
2.4600e+06, 2.2121e-05
2.4800e+06, 2.2121e-05
2.5000e+06, 2.2121e-05
2.5200e+06, 2.2122e-05
2.5400e+06, 2.2122e-05
2.5600e+06, 2.2122e-05
2.5800e+06, 2.2122e-05
2.6000e+06, 2.2122e-05
2.6200e+06, 2.2123e-05
2.6400e+06, 2.2123e-05
2.6600e+06, 2.2123e-05
2.6800e+06, 2.2123e-05
2.7000e+06, 2.2123e-05
2.7200e+06, 2.2123e-05
2.7400e+06, 2.2124e-05
2.7600e+06, 2.2124e-05
2.7800e+06, 2.2124e-05
2.7900e+06, 2.2124e-05
2.8000e+06, 2.2124e-05
2.8050e+06, 2.2124e-05
2.8100e+06, 2.2124e-05
2.8112e+06, 2.2124e-05
2.8119e+06, 2.2124e-05
2.8125e+06, 2.2124e-05
2.8128e+06, 2.2124e-05
2.8130e+06, 2.2124e-05
2.8131e+06, 2.2124e-05
2.8138e+06, 2.2124e-05
2.8139e+06, 2.2124e-05
2.8141e+06, 2.2124e-05
2.8144e+06, 2.2124e-05
2.8147e+06, 2.2124e-05
2.8148e+06, 2.2124e-05
2.8149e+06, 2.2124e-05
2.8150e+06, 2.2124e-05
2.8151e+06, 2.2124e-05
2.8152e+06, 2.2124e-05
2.8153e+06, 2.2124e-05
2.8156e+06, 2.2124e-05
2.8159e+06, 2.2124e-05
2.8160e+06, 2.2124e-05
2.8161e+06, 2.2124e-05
2.8162e+06, 2.2124e-05
2.8169e+06, 2.2124e-05
2.8170e+06, 2.2124e-05
2.8172e+06, 2.2124e-05
2.8175e+06, 2.2124e-05
2.8181e+06, 2.2124e-05
2.8188e+06, 2.2124e-05
2.8200e+06, 2.2124e-05
2.8240e+06, 2.2124e-05
2.8300e+06, 2.2124e-05
2.8400e+06, 2.2124e-05
2.8500e+06, 2.2125e-05
2.8600e+06, 2.2125e-05
2.8700e+06, 2.2125e-05
2.8800e+06, 2.2125e-05
2.8900e+06, 2.2125e-05
2.9000e+06, 2.2125e-05
2.9100e+06, 2.2125e-05
2.9200e+06, 2.2125e-05
2.9300e+06, 2.2125e-05
2.9400e+06, 2.2125e-05
2.9440e+06, 2.2125e-05
2.9480e+06, 2.2125e-05
2.9520e+06, 2.2125e-05
2.9560e+06, 2.2125e-05
2.9600e+06, 2.2125e-05
2.9650e+06, 2.2125e-05
2.9700e+06, 2.2126e-05
2.9750e+06, 2.2126e-05
2.9800e+06, 2.2126e-05
2.9850e+06, 2.2126e-05
2.9875e+06, 2.2126e-05
2.9900e+06, 2.2126e-05
2.9925e+06, 2.2126e-05
2.9950e+06, 2.2126e-05
3.0000e+06, 2.2126e-05
3.0100e+06, 2.2126e-05
3.0200e+06, 2.2126e-05
3.0300e+06, 2.2126e-05
3.0400e+06, 2.2126e-05
3.0500e+06, 2.2126e-05
3.0600e+06, 2.2126e-05
3.0800e+06, 2.2126e-05
3.1000e+06, 2.2126e-05
3.1200e+06, 2.2127e-05
3.1400e+06, 2.2127e-05
3.1600e+06, 2.2127e-05
3.1800e+06, 2.2127e-05
3.2000e+06, 2.2127e-05
3.2200e+06, 2.2127e-05
3.2400e+06, 2.2128e-05
3.2600e+06, 2.2128e-05
3.2800e+06, 2.2128e-05
3.3000e+06, 2.2128e-05
3.3200e+06, 2.2128e-05
3.3400e+06, 2.2128e-05
