ebin, xs
1.0000e-05, 2.0504e+01
1.0625e-05, 1.9892e+01
1.1250e-05, 1.9331e+01
1.1875e-05, 1.8816e+01
1.2500e-05, 1.8339e+01
1.3750e-05, 1.7486e+01
1.5000e-05, 1.6741e+01
1.6250e-05, 1.6085e+01
1.7500e-05, 1.5500e+01
1.8750e-05, 1.4974e+01
2.0000e-05, 1.4499e+01
2.1875e-05, 1.3863e+01
2.3750e-05, 1.3305e+01
2.5625e-05, 1.2809e+01
2.7500e-05, 1.2364e+01
2.9375e-05, 1.1963e+01
3.1250e-05, 1.1599e+01
3.3125e-05, 1.1266e+01
3.5000e-05, 1.0960e+01
3.8750e-05, 1.0416e+01
4.2500e-05, 9.9459e+00
4.6250e-05, 9.5342e+00
5.0000e-05, 9.1697e+00
5.3125e-05, 8.8959e+00
5.6250e-05, 8.6453e+00
5.9375e-05, 8.4147e+00
6.2500e-05, 8.2016e+00
6.8750e-05, 7.8199e+00
7.5000e-05, 7.4870e+00
8.1250e-05, 7.1933e+00
8.7500e-05, 6.9316e+00
9.3750e-05, 6.6966e+00
1.0000e-04, 6.4840e+00
1.0625e-04, 6.2904e+00
1.1250e-04, 6.1131e+00
1.1875e-04, 5.9501e+00
1.2500e-04, 5.7994e+00
1.3750e-04, 5.5295e+00
1.5000e-04, 5.2941e+00
1.6250e-04, 5.0864e+00
1.7500e-04, 4.9014e+00
1.8750e-04, 4.7352e+00
2.0000e-04, 4.5848e+00
2.1875e-04, 4.3840e+00
2.3750e-04, 4.2073e+00
2.5625e-04, 4.0505e+00
2.7500e-04, 3.9100e+00
2.9375e-04, 3.7831e+00
3.1250e-04, 3.6679e+00
3.3125e-04, 3.5626e+00
3.5000e-04, 3.4658e+00
3.8750e-04, 3.2939e+00
4.2500e-04, 3.1452e+00
4.6250e-04, 3.0150e+00
5.0000e-04, 2.8997e+00
5.3125e-04, 2.8131e+00
5.6250e-04, 2.7339e+00
5.9375e-04, 2.6610e+00
6.2500e-04, 2.5936e+00
6.8750e-04, 2.4729e+00
7.5000e-04, 2.3676e+00
8.1250e-04, 2.2747e+00
8.7500e-04, 2.1920e+00
9.3750e-04, 2.1177e+00
1.0000e-03, 2.0504e+00
1.0625e-03, 1.9892e+00
1.1250e-03, 1.9331e+00
1.1875e-03, 1.8816e+00
1.2500e-03, 1.8339e+00
1.3750e-03, 1.7486e+00
1.5000e-03, 1.6742e+00
1.6250e-03, 1.6085e+00
1.7500e-03, 1.5500e+00
1.8750e-03, 1.4974e+00
2.0000e-03, 1.4499e+00
2.1875e-03, 1.3863e+00
2.3750e-03, 1.3305e+00
2.5625e-03, 1.2809e+00
2.7500e-03, 1.2365e+00
2.9375e-03, 1.1963e+00
3.1250e-03, 1.1599e+00
3.3125e-03, 1.1266e+00
3.5000e-03, 1.0960e+00
3.8750e-03, 1.0416e+00
4.2500e-03, 9.9460e-01
4.6250e-03, 9.5342e-01
5.0000e-03, 9.1697e-01
5.3125e-03, 8.8959e-01
5.6250e-03, 8.6453e-01
5.9375e-03, 8.4147e-01
6.2500e-03, 8.2016e-01
6.8750e-03, 7.8199e-01
7.5000e-03, 7.4869e-01
8.1250e-03, 7.1932e-01
8.7500e-03, 6.9315e-01
9.3750e-03, 6.6965e-01
1.0000e-02, 6.4838e-01
1.0625e-02, 6.2902e-01
1.1250e-02, 6.1130e-01
1.1875e-02, 5.9500e-01
1.2500e-02, 5.7993e-01
1.3750e-02, 5.5294e-01
1.5000e-02, 5.2940e-01
1.6250e-02, 5.0863e-01
1.7500e-02, 4.9012e-01
1.8750e-02, 4.7350e-01
2.0000e-02, 4.5846e-01
2.1325e-02, 4.4399e-01
2.2650e-02, 4.3081e-01
2.3975e-02, 4.1874e-01
2.5300e-02, 4.0764e-01
2.6844e-02, 3.9575e-01
2.8387e-02, 3.8485e-01
3.1475e-02, 3.6550e-01
3.4563e-02, 3.4879e-01
3.7650e-02, 3.3417e-01
4.0738e-02, 3.2125e-01
4.3825e-02, 3.0972e-01
4.6913e-02, 2.9934e-01
5.0000e-02, 2.8995e-01
5.3125e-02, 2.8129e-01
5.6250e-02, 2.7337e-01
5.9375e-02, 2.6609e-01
6.2500e-02, 2.5936e-01
6.8750e-02, 2.4730e-01
7.5000e-02, 2.3677e-01
8.1250e-02, 2.2747e-01
8.7500e-02, 2.1919e-01
9.3750e-02, 2.1175e-01
1.0000e-01, 2.0502e-01
1.0625e-01, 1.9890e-01
1.1250e-01, 1.9329e-01
1.1875e-01, 1.8815e-01
1.2500e-01, 1.8339e-01
1.3750e-01, 1.7487e-01
1.5000e-01, 1.6743e-01
1.6250e-01, 1.6085e-01
1.7500e-01, 1.5499e-01
1.8750e-01, 1.4974e-01
2.0000e-01, 1.4499e-01
2.1875e-01, 1.3864e-01
2.3750e-01, 1.3305e-01
2.5625e-01, 1.2808e-01
2.7500e-01, 1.2363e-01
2.9375e-01, 1.1962e-01
3.1250e-01, 1.1597e-01
3.3125e-01, 1.1265e-01
3.5000e-01, 1.0960e-01
3.8750e-01, 1.0418e-01
4.2500e-01, 9.9471e-02
5.0000e-01, 9.1720e-02
6.2500e-01, 8.2036e-02
7.5000e-01, 7.4874e-02
8.7500e-01, 6.9335e-02
1.0000e+00, 6.4870e-02
1.2500e+00, 5.8005e-02
1.5000e+00, 5.2942e-02
1.7500e+00, 4.9021e-02
2.0000e+00, 4.5857e-02
2.3750e+00, 4.2080e-02
2.7500e+00, 3.9110e-02
3.1250e+00, 3.6683e-02
3.5000e+00, 3.4658e-02
4.2500e+00, 3.1447e-02
5.0000e+00, 2.8993e-02
6.2500e+00, 2.5930e-02
7.5000e+00, 2.3668e-02
8.7500e+00, 2.1913e-02
1.0000e+01, 2.0498e-02
1.2500e+01, 1.8330e-02
1.5000e+01, 1.6731e-02
1.7500e+01, 1.5489e-02
2.0000e+01, 1.4488e-02
2.3750e+01, 1.3293e-02
2.7500e+01, 1.2352e-02
3.1250e+01, 1.1586e-02
3.5000e+01, 1.0946e-02
4.2500e+01, 9.9302e-03
5.0000e+01, 9.1531e-03
6.2500e+01, 8.1834e-03
7.5000e+01, 7.4672e-03
8.7500e+01, 6.9106e-03
1.0000e+02, 6.4619e-03
1.2500e+02, 5.7748e-03
1.5000e+02, 5.2674e-03
1.7500e+02, 4.8728e-03
2.0000e+02, 4.5545e-03
2.3750e+02, 4.1745e-03
2.7500e+02, 3.8749e-03
3.1250e+02, 3.6306e-03
3.5000e+02, 3.4265e-03
4.2500e+02, 3.1021e-03
5.0000e+02, 2.8532e-03
6.2500e+02, 2.5419e-03
7.5000e+02, 2.3113e-03
8.7500e+02, 2.1315e-03
1.0000e+03, 1.9861e-03
1.2500e+03, 1.7626e-03
1.5000e+03, 1.5967e-03
1.7500e+03, 1.4669e-03
2.0000e+03, 1.3618e-03
2.3854e+03, 1.2337e-03
2.5780e+03, 1.1815e-03
2.7707e+03, 1.1431e-03
2.8258e+03, 1.1701e-03
2.8464e+03, 1.2712e-03
2.8567e+03, 1.3819e-03
2.8619e+03, 1.5683e-03
2.8671e+03, 1.9667e-03
2.8702e+03, 2.5724e-03
2.8717e+03, 3.2104e-03
2.8733e+03, 4.6547e-03
2.8741e+03, 6.4775e-03
2.8745e+03, 8.1426e-03
2.8749e+03, 1.0729e-02
2.8752e+03, 1.4776e-02
2.8756e+03, 2.1026e-02
2.8760e+03, 3.0475e-02
2.8764e+03, 4.4306e-02
2.8768e+03, 6.3960e-02
2.8772e+03, 9.0750e-02
2.8776e+03, 1.2572e-01
2.8780e+03, 1.6913e-01
2.8784e+03, 2.2062e-01
2.8788e+03, 2.7818e-01
2.8795e+03, 3.9720e-01
2.8798e+03, 4.3936e-01
2.8802e+03, 4.7452e-01
2.8805e+03, 5.0049e-01
2.8808e+03, 5.1547e-01
2.8810e+03, 5.1881e-01
2.8810e+03, 5.1868e-01
2.8812e+03, 5.1677e-01
2.8816e+03, 4.9589e-01
2.8820e+03, 4.5503e-01
2.8824e+03, 4.0695e-01
2.8828e+03, 3.5192e-01
2.8835e+03, 2.3868e-01
2.8839e+03, 1.8745e-01
2.8842e+03, 1.4306e-01
2.8846e+03, 1.0618e-01
2.8850e+03, 7.7028e-02
2.8854e+03, 5.4780e-02
2.8857e+03, 3.8514e-02
2.8861e+03, 2.6957e-02
2.8865e+03, 1.9029e-02
2.8868e+03, 1.3694e-02
2.8872e+03, 1.0185e-02
2.8876e+03, 7.8825e-03
2.8880e+03, 6.3748e-03
2.8887e+03, 4.7271e-03
2.8894e+03, 3.8624e-03
2.8908e+03, 2.9595e-03
2.8936e+03, 2.1483e-03
2.8992e+03, 1.5914e-03
2.9105e+03, 1.2826e-03
2.9218e+03, 1.2023e-03
2.9444e+03, 1.1462e-03
2.9896e+03, 1.1225e-03
3.0077e+03, 1.1991e-03
3.0119e+03, 1.2812e-03
3.0161e+03, 1.5148e-03
3.0183e+03, 1.9034e-03
3.0193e+03, 2.5261e-03
3.0199e+03, 3.1927e-03
3.0204e+03, 4.3394e-03
3.0209e+03, 6.2772e-03
3.0214e+03, 9.4048e-03
3.0220e+03, 1.4192e-02
3.0225e+03, 2.1009e-02
3.0236e+03, 4.0888e-02
3.0246e+03, 6.4119e-02
3.0253e+03, 7.5441e-02
3.0260e+03, 7.9654e-02
3.0267e+03, 7.5003e-02
3.0274e+03, 6.2745e-02
3.0289e+03, 3.1529e-02
3.0296e+03, 1.9387e-02
3.0303e+03, 1.1241e-02
3.0311e+03, 6.4607e-03
3.0318e+03, 3.9566e-03
3.0325e+03, 2.7349e-03
3.0332e+03, 2.1510e-03
3.0347e+03, 1.6846e-03
3.0361e+03, 1.4921e-03
3.0390e+03, 1.3161e-03
3.0485e+03, 1.1658e-03
3.0581e+03, 1.1146e-03
3.0771e+03, 1.0812e-03
3.1233e+03, 1.0604e-03
3.1694e+03, 1.0487e-03
3.2616e+03, 1.0286e-03
3.4461e+03, 9.9405e-04
3.8151e+03, 9.3430e-04
4.1840e+03, 8.8296e-04
4.5530e+03, 8.4387e-04
4.6039e+03, 8.6169e-04
4.6293e+03, 9.5044e-04
4.6353e+03, 1.0406e-03
4.6412e+03, 1.2891e-03
4.6442e+03, 1.6446e-03
4.6457e+03, 2.1343e-03
4.6464e+03, 2.6695e-03
4.6472e+03, 3.6773e-03
4.6479e+03, 5.6093e-03
4.6487e+03, 9.2022e-03
4.6494e+03, 1.5523e-02
4.6502e+03, 2.5774e-02
4.6509e+03, 4.0949e-02
4.6517e+03, 6.1075e-02
