ebin, xs
1.0000e-05, 1.3025e+02
1.0625e-05, 1.2637e+02
1.1250e-05, 1.2281e+02
1.1875e-05, 1.1953e+02
1.2500e-05, 1.1650e+02
1.3750e-05, 1.1108e+02
1.5000e-05, 1.0635e+02
1.6250e-05, 1.0218e+02
1.7500e-05, 9.8463e+01
1.8750e-05, 9.5124e+01
2.0000e-05, 9.2104e+01
2.1875e-05, 8.8068e+01
2.3750e-05, 8.4520e+01
2.5625e-05, 8.1369e+01
2.7500e-05, 7.8546e+01
2.9375e-05, 7.5998e+01
3.1250e-05, 7.3683e+01
3.3125e-05, 7.1567e+01
3.5000e-05, 6.9624e+01
3.8750e-05, 6.6169e+01
4.2500e-05, 6.3183e+01
4.6250e-05, 6.0567e+01
5.0000e-05, 5.8252e+01
5.3125e-05, 5.6512e+01
5.6250e-05, 5.4920e+01
5.9375e-05, 5.3455e+01
6.2500e-05, 5.2102e+01
6.8750e-05, 4.9677e+01
7.5000e-05, 4.7562e+01
8.1250e-05, 4.5696e+01
8.7500e-05, 4.4034e+01
9.3750e-05, 4.2541e+01
1.0000e-04, 4.1190e+01
1.0625e-04, 3.9960e+01
1.1250e-04, 3.8834e+01
1.1875e-04, 3.7799e+01
1.2500e-04, 3.6841e+01
1.3750e-04, 3.5127e+01
1.5000e-04, 3.3632e+01
1.6250e-04, 3.2312e+01
1.7500e-04, 3.1137e+01
1.8750e-04, 3.0081e+01
2.0000e-04, 2.9126e+01
2.1875e-04, 2.7850e+01
2.3750e-04, 2.6728e+01
2.5625e-04, 2.5731e+01
2.7500e-04, 2.4839e+01
2.9375e-04, 2.4033e+01
3.1250e-04, 2.3301e+01
3.3125e-04, 2.2632e+01
3.5000e-04, 2.2017e+01
3.8750e-04, 2.0925e+01
4.2500e-04, 1.9980e+01
4.6250e-04, 1.9153e+01
5.0000e-04, 1.8421e+01
5.3125e-04, 1.7871e+01
5.6250e-04, 1.7367e+01
5.9375e-04, 1.6904e+01
6.2500e-04, 1.6476e+01
6.8750e-04, 1.5709e+01
7.5000e-04, 1.5040e+01
8.1250e-04, 1.4450e+01
8.7500e-04, 1.3925e+01
9.3750e-04, 1.3453e+01
1.0000e-03, 1.3025e+01
1.0625e-03, 1.2637e+01
1.1250e-03, 1.2281e+01
1.1875e-03, 1.1953e+01
1.2500e-03, 1.1650e+01
1.3750e-03, 1.1108e+01
1.5000e-03, 1.0635e+01
1.6250e-03, 1.0218e+01
1.7500e-03, 9.8464e+00
1.8750e-03, 9.5125e+00
2.0000e-03, 9.2104e+00
2.1875e-03, 8.8069e+00
2.3750e-03, 8.4521e+00
2.5625e-03, 8.1370e+00
2.7500e-03, 7.8547e+00
2.9375e-03, 7.5999e+00
3.1250e-03, 7.3684e+00
3.3125e-03, 7.1568e+00
3.5000e-03, 6.9625e+00
3.8750e-03, 6.6170e+00
4.2500e-03, 6.3183e+00
4.6250e-03, 6.0567e+00
5.0000e-03, 5.8252e+00
5.3125e-03, 5.6512e+00
5.6250e-03, 5.4920e+00
5.9375e-03, 5.3455e+00
6.2500e-03, 5.2101e+00
6.8750e-03, 4.9676e+00
7.5000e-03, 4.7561e+00
8.1250e-03, 4.5695e+00
8.7500e-03, 4.4033e+00
9.3750e-03, 4.2540e+00
1.0000e-02, 4.1189e+00
1.0625e-02, 3.9959e+00
1.1250e-02, 3.8833e+00
1.1875e-02, 3.7798e+00
1.2500e-02, 3.6841e+00
1.3750e-02, 3.5126e+00
1.5000e-02, 3.3631e+00
1.6250e-02, 3.2311e+00
1.7500e-02, 3.1135e+00
1.8750e-02, 3.0079e+00
2.0000e-02, 2.9123e+00
2.1325e-02, 2.8204e+00
2.2650e-02, 2.7367e+00
2.3975e-02, 2.6600e+00
2.5300e-02, 2.5895e+00
2.6844e-02, 2.5140e+00
2.8387e-02, 2.4448e+00
3.1475e-02, 2.3219e+00
3.4563e-02, 2.2157e+00
3.7650e-02, 2.1229e+00
4.0738e-02, 2.0407e+00
4.3825e-02, 1.9674e+00
4.6913e-02, 1.9015e+00
5.0000e-02, 1.8418e+00
5.3125e-02, 1.7868e+00
5.6250e-02, 1.7365e+00
5.9375e-02, 1.6903e+00
6.2500e-02, 1.6475e+00
6.8750e-02, 1.5709e+00
7.5000e-02, 1.5040e+00
8.1250e-02, 1.4450e+00
8.7500e-02, 1.3923e+00
9.3750e-02, 1.3451e+00
1.0000e-01, 1.3023e+00
1.0625e-01, 1.2634e+00
1.1250e-01, 1.2278e+00
1.1875e-01, 1.1951e+00
1.2500e-01, 1.1649e+00
1.3750e-01, 1.1108e+00
1.5000e-01, 1.0635e+00
1.6250e-01, 1.0217e+00
1.7500e-01, 9.8447e-01
1.8750e-01, 9.5108e-01
2.0000e-01, 9.2092e-01
2.1875e-01, 8.8060e-01
2.3750e-01, 8.4508e-01
2.5625e-01, 8.1351e-01
2.7500e-01, 7.8525e-01
2.9375e-01, 7.5973e-01
3.1250e-01, 7.3656e-01
3.3125e-01, 7.1542e-01
3.5000e-01, 6.9609e-01
3.8200e-01, 6.6633e-01
4.1400e-01, 6.3986e-01
4.1434e-01, 6.3959e-01
4.1538e-01, 6.3879e-01
4.1778e-01, 6.3694e-01
4.2019e-01, 6.3510e-01
