ebin, xs
1.0000e-05, 1.6706e+01
1.0625e-05, 1.6207e+01
1.1250e-05, 1.5750e+01
1.1875e-05, 1.5330e+01
1.2500e-05, 1.4942e+01
1.3750e-05, 1.4247e+01
1.5000e-05, 1.3640e+01
1.6250e-05, 1.3105e+01
1.7500e-05, 1.2628e+01
1.8750e-05, 1.2200e+01
2.0000e-05, 1.1813e+01
2.1875e-05, 1.1295e+01
2.3750e-05, 1.0840e+01
2.5625e-05, 1.0436e+01
2.7500e-05, 1.0074e+01
2.9375e-05, 9.7471e+00
3.1250e-05, 9.4502e+00
3.3125e-05, 9.1789e+00
3.5000e-05, 8.9296e+00
3.8750e-05, 8.4865e+00
4.2500e-05, 8.1035e+00
4.6250e-05, 7.7680e+00
5.0000e-05, 7.4710e+00
5.3125e-05, 7.2480e+00
5.6250e-05, 7.0438e+00
5.9375e-05, 6.8559e+00
6.2500e-05, 6.6823e+00
6.8750e-05, 6.3713e+00
7.5000e-05, 6.1001e+00
8.1250e-05, 5.8608e+00
8.7500e-05, 5.6476e+00
9.3750e-05, 5.4561e+00
1.0000e-04, 5.2828e+00
1.0625e-04, 5.1251e+00
1.1250e-04, 4.9807e+00
1.1875e-04, 4.8479e+00
1.2500e-04, 4.7251e+00
1.3750e-04, 4.5052e+00
1.5000e-04, 4.3134e+00
1.6250e-04, 4.1442e+00
1.7500e-04, 3.9934e+00
1.8750e-04, 3.8580e+00
2.0000e-04, 3.7355e+00
2.1875e-04, 3.5718e+00
2.3750e-04, 3.4280e+00
2.5625e-04, 3.3002e+00
2.7500e-04, 3.1857e+00
2.9375e-04, 3.0823e+00
3.1250e-04, 2.9884e+00
3.3125e-04, 2.9026e+00
3.5000e-04, 2.8238e+00
3.8750e-04, 2.6837e+00
4.2500e-04, 2.5625e+00
4.6250e-04, 2.4565e+00
5.0000e-04, 2.3626e+00
5.3125e-04, 2.2920e+00
5.6250e-04, 2.2274e+00
5.9375e-04, 2.1680e+00
6.2500e-04, 2.1131e+00
6.8750e-04, 2.0148e+00
7.5000e-04, 1.9290e+00
8.1250e-04, 1.8533e+00
8.7500e-04, 1.7859e+00
9.3750e-04, 1.7254e+00
1.0000e-03, 1.6706e+00
1.0625e-03, 1.6207e+00
1.1250e-03, 1.5750e+00
1.1875e-03, 1.5330e+00
1.2500e-03, 1.4942e+00
1.3750e-03, 1.4247e+00
1.5000e-03, 1.3640e+00
1.6250e-03, 1.3105e+00
1.7500e-03, 1.2628e+00
1.8750e-03, 1.2200e+00
2.0000e-03, 1.1813e+00
2.1875e-03, 1.1295e+00
2.3750e-03, 1.0840e+00
2.5625e-03, 1.0436e+00
2.7500e-03, 1.0074e+00
2.9375e-03, 9.7471e-01
3.1250e-03, 9.4502e-01
3.3125e-03, 9.1789e-01
3.5000e-03, 8.9296e-01
3.8750e-03, 8.4865e-01
4.2500e-03, 8.1035e-01
4.6250e-03, 7.7680e-01
5.0000e-03, 7.4710e-01
5.3125e-03, 7.2480e-01
5.6250e-03, 7.0438e-01
5.9375e-03, 6.8559e-01
6.2500e-03, 6.6823e-01
6.8750e-03, 6.3713e-01
7.5000e-03, 6.1001e-01
8.1250e-03, 5.8608e-01
8.7500e-03, 5.6476e-01
9.3750e-03, 5.4561e-01
1.0000e-02, 5.2828e-01
1.0625e-02, 5.1251e-01
1.1250e-02, 4.9807e-01
1.1875e-02, 4.8479e-01
1.2500e-02, 4.7251e-01
1.3750e-02, 4.5052e-01
1.5000e-02, 4.3134e-01
1.6250e-02, 4.1442e-01
1.7500e-02, 3.9934e-01
1.8750e-02, 3.8580e-01
2.0000e-02, 3.7355e-01
2.1325e-02, 3.6176e-01
2.2650e-02, 3.5102e-01
2.3975e-02, 3.4118e-01
2.5300e-02, 3.3213e-01
2.6844e-02, 3.2244e-01
2.8387e-02, 3.1355e-01
3.1475e-02, 2.9777e-01
3.4563e-02, 2.8416e-01
3.7650e-02, 2.7226e-01
4.0738e-02, 2.6174e-01
4.3825e-02, 2.5235e-01
4.6913e-02, 2.4391e-01
5.0000e-02, 2.3626e-01
5.3125e-02, 2.2920e-01
5.6250e-02, 2.2274e-01
5.9375e-02, 2.1680e-01
6.2500e-02, 2.1131e-01
6.8750e-02, 2.0148e-01
7.5000e-02, 1.9290e-01
8.1250e-02, 1.8533e-01
8.7500e-02, 1.7859e-01
9.3750e-02, 1.7254e-01
1.0000e-01, 1.6706e-01
1.0625e-01, 1.6207e-01
1.1250e-01, 1.5750e-01
1.1875e-01, 1.5330e-01
1.2500e-01, 1.4942e-01
1.3750e-01, 1.4247e-01
1.5000e-01, 1.3640e-01
1.6250e-01, 1.3105e-01
1.7500e-01, 1.2629e-01
1.8750e-01, 1.2200e-01
2.0000e-01, 1.1813e-01
2.1875e-01, 1.1296e-01
2.3750e-01, 1.0841e-01
2.5625e-01, 1.0437e-01
2.7500e-01, 1.0075e-01
2.9375e-01, 9.7478e-02
3.1250e-01, 9.4510e-02
3.3125e-01, 9.1798e-02
3.5000e-01, 8.9306e-02
3.8750e-01, 8.4877e-02
4.2500e-01, 8.1049e-02
5.0000e-01, 7.4726e-02
6.2500e-01, 6.6840e-02
7.5000e-01, 6.1019e-02
8.7500e-01, 5.6496e-02
1.0000e+00, 5.2848e-02
1.2500e+00, 4.7265e-02
1.5000e+00, 4.3145e-02
1.7500e+00, 3.9947e-02
2.0000e+00, 3.7370e-02
2.3750e+00, 3.4299e-02
2.7500e+00, 3.1877e-02
3.1250e+00, 2.9900e-02
3.5000e+00, 2.8248e-02
4.2500e+00, 2.5629e-02
5.0000e+00, 2.3631e-02
6.2500e+00, 2.1136e-02
7.5000e+00, 1.9291e-02
8.7500e+00, 1.7865e-02
1.0000e+01, 1.6715e-02
1.2500e+01, 1.4945e-02
1.5000e+01, 1.3640e-02
1.7500e+01, 1.2632e-02
2.0000e+01, 1.1816e-02
2.3750e+01, 1.0843e-02
2.7500e+01, 1.0079e-02
3.1250e+01, 9.4526e-03
3.5000e+01, 8.9302e-03
4.2500e+01, 8.1020e-03
5.0000e+01, 7.4699e-03
6.2500e+01, 6.6806e-03
7.5000e+01, 6.0970e-03
8.7500e+01, 5.6450e-03
1.0000e+02, 5.2807e-03
1.2500e+02, 4.7212e-03
1.5000e+02, 4.3086e-03
1.7500e+02, 3.9886e-03
2.0000e+02, 3.7306e-03
2.3750e+02, 3.4220e-03
2.7500e+02, 3.1793e-03
3.1250e+02, 2.9813e-03
3.5000e+02, 2.8162e-03
4.2500e+02, 2.5543e-03
5.0000e+02, 2.3540e-03
6.2500e+02, 2.1031e-03
7.5000e+02, 1.9180e-03
8.7500e+02, 1.7744e-03
1.0000e+03, 1.6587e-03
1.2500e+03, 1.4802e-03
1.5000e+03, 1.3487e-03
1.7500e+03, 1.2468e-03
2.0000e+03, 1.1647e-03
2.2500e+03, 1.0956e-03
2.5000e+03, 1.0371e-03
2.7500e+03, 9.8700e-04
3.0000e+03, 9.4335e-04
3.2500e+03, 9.0490e-04
3.5000e+03, 8.7073e-04
4.0000e+03, 8.1235e-04
4.5000e+03, 7.6291e-04
5.0000e+03, 7.2122e-04
5.5000e+03, 6.8548e-04
6.0000e+03, 6.5439e-04
6.5000e+03, 6.2642e-04
7.0000e+03, 6.0160e-04
8.0000e+03, 5.5931e-04
9.0000e+03, 5.2372e-04
1.0000e+04, 4.9385e-04
1.2500e+04, 4.4222e-04
1.5000e+04, 3.9077e-04
1.7500e+04, 3.5949e-04
2.0000e+04, 3.2839e-04
2.2500e+04, 3.1330e-04
2.5000e+04, 2.9830e-04
2.7500e+04, 2.8329e-04
3.0000e+04, 2.6829e-04
3.2500e+04, 2.5328e-04
3.5000e+04, 2.3828e-04
4.0000e+04, 2.0833e-04
4.5000e+04, 1.9496e-04
5.0000e+04, 1.8166e-04
5.5000e+04, 1.6836e-04
6.0000e+04, 1.5509e-04
6.5000e+04, 1.4732e-04
7.0000e+04, 1.3959e-04
8.0000e+04, 1.2413e-04
9.0000e+04, 1.1394e-04
1.0000e+05, 1.0379e-04
1.2500e+05, 8.9141e-05
1.5000e+05, 7.4518e-05
1.7500e+05, 6.6893e-05
2.0000e+05, 5.9284e-05
2.2500e+05, 5.5609e-05
2.5000e+05, 5.1941e-05
2.7500e+05, 4.8272e-05
3.0000e+05, 4.4608e-05
3.2500e+05, 4.3021e-05
3.5000e+05, 4.1439e-05
4.0000e+05, 3.8277e-05
4.5000e+05, 3.6783e-05
5.0000e+05, 3.5291e-05
5.5000e+05, 3.4595e-05
6.0000e+05, 3.3900e-05
6.5000e+05, 3.3621e-05
7.0000e+05, 3.3342e-05
8.0000e+05, 3.3244e-05
9.0000e+05, 3.3402e-05
1.0000e+06, 3.3699e-05
1.2000e+06, 3.4455e-05
1.4000e+06, 3.5217e-05
