ebin, xs
1.0000e-05, 2.8513e+04
1.0625e-05, 2.7662e+04
1.1250e-05, 2.6882e+04
1.1875e-05, 2.6165e+04
1.2500e-05, 2.5503e+04
1.3750e-05, 2.4316e+04
1.5000e-05, 2.3281e+04
1.6250e-05, 2.2367e+04
1.7500e-05, 2.1554e+04
1.8750e-05, 2.0823e+04
2.0000e-05, 2.0162e+04
2.1875e-05, 1.9278e+04
2.3750e-05, 1.8501e+04
2.5625e-05, 1.7812e+04
2.7500e-05, 1.7194e+04
2.9375e-05, 1.6636e+04
3.1250e-05, 1.6129e+04
3.3125e-05, 1.5666e+04
3.5000e-05, 1.5240e+04
3.8750e-05, 1.4484e+04
4.2500e-05, 1.3830e+04
4.6250e-05, 1.3258e+04
5.0000e-05, 1.2751e+04
5.3125e-05, 1.2370e+04
5.6250e-05, 1.2022e+04
5.9375e-05, 1.1701e+04
6.2500e-05, 1.1405e+04
6.8750e-05, 1.0874e+04
7.5000e-05, 1.0411e+04
8.1250e-05, 1.0002e+04
8.7500e-05, 9.6383e+03
9.3750e-05, 9.3114e+03
1.0000e-04, 9.0157e+03
1.0625e-04, 8.7464e+03
1.1250e-04, 8.4999e+03
1.1875e-04, 8.2731e+03
1.2500e-04, 8.0636e+03
1.3750e-04, 7.6882e+03
1.5000e-04, 7.3608e+03
1.6250e-04, 7.0719e+03
1.7500e-04, 6.8146e+03
1.8750e-04, 6.5834e+03
2.0000e-04, 6.3742e+03
2.1875e-04, 6.0948e+03
2.3750e-04, 5.8491e+03
2.5625e-04, 5.6309e+03
2.7500e-04, 5.4355e+03
2.9375e-04, 5.2590e+03
3.1250e-04, 5.0987e+03
3.3125e-04, 4.9522e+03
3.5000e-04, 4.8176e+03
3.8750e-04, 4.5783e+03
4.2500e-04, 4.3715e+03
4.6250e-04, 4.1903e+03
5.0000e-04, 4.0299e+03
5.3125e-04, 3.9094e+03
5.6250e-04, 3.7991e+03
5.9375e-04, 3.6977e+03
6.2500e-04, 3.6039e+03
6.8750e-04, 3.4359e+03
7.5000e-04, 3.2894e+03
8.1250e-04, 3.1601e+03
8.7500e-04, 3.0449e+03
9.3750e-04, 2.9414e+03
1.0000e-03, 2.8478e+03
1.0625e-03, 2.7626e+03
1.1250e-03, 2.6845e+03
1.1875e-03, 2.6127e+03
