ebin, xs
1.0000e-05, 3.1980e+02
1.0625e-05, 3.1025e+02
1.1250e-05, 3.0151e+02
1.1875e-05, 2.9347e+02
1.2500e-05, 2.8604e+02
1.3750e-05, 2.7273e+02
1.5000e-05, 2.6112e+02
1.6250e-05, 2.5087e+02
1.7500e-05, 2.4175e+02
1.8750e-05, 2.3355e+02
2.0000e-05, 2.2613e+02
2.1875e-05, 2.1623e+02
2.3750e-05, 2.0751e+02
2.5625e-05, 1.9978e+02
2.7500e-05, 1.9285e+02
2.9375e-05, 1.8659e+02
3.1250e-05, 1.8091e+02
3.3125e-05, 1.7571e+02
3.5000e-05, 1.7094e+02
3.8750e-05, 1.6246e+02
4.2500e-05, 1.5513e+02
4.6250e-05, 1.4870e+02
5.0000e-05, 1.4302e+02
5.3125e-05, 1.3875e+02
5.6250e-05, 1.3484e+02
5.9375e-05, 1.3124e+02
6.2500e-05, 1.2792e+02
6.8750e-05, 1.2197e+02
7.5000e-05, 1.1678e+02
8.1250e-05, 1.1219e+02
8.7500e-05, 1.0811e+02
9.3750e-05, 1.0445e+02
1.0000e-04, 1.0113e+02
1.0625e-04, 9.8111e+01
1.1250e-04, 9.5346e+01
1.1875e-04, 9.2803e+01
1.2500e-04, 9.0454e+01
1.3750e-04, 8.6244e+01
1.5000e-04, 8.2572e+01
1.6250e-04, 7.9333e+01
1.7500e-04, 7.6447e+01
1.8750e-04, 7.3855e+01
2.0000e-04, 7.1510e+01
2.1875e-04, 6.8376e+01
2.3750e-04, 6.5622e+01
2.5625e-04, 6.3175e+01
2.7500e-04, 6.0984e+01
2.9375e-04, 5.9005e+01
3.1250e-04, 5.7208e+01
3.3125e-04, 5.5565e+01
3.5000e-04, 5.4056e+01
3.8750e-04, 5.1374e+01
4.2500e-04, 4.9055e+01
4.6250e-04, 4.7024e+01
5.0000e-04, 4.5226e+01
5.3125e-04, 4.3876e+01
5.6250e-04, 4.2640e+01
5.9375e-04, 4.1503e+01
6.2500e-04, 4.0452e+01
6.8750e-04, 3.8569e+01
7.5000e-04, 3.6927e+01
8.1250e-04, 3.5478e+01
8.7500e-04, 3.4188e+01
9.3750e-04, 3.3029e+01
1.0000e-03, 3.1980e+01
1.0625e-03, 3.1025e+01
1.1250e-03, 3.0151e+01
1.1875e-03, 2.9347e+01
1.2500e-03, 2.8603e+01
1.3750e-03, 2.7272e+01
1.5000e-03, 2.6111e+01
1.6250e-03, 2.5087e+01
1.7500e-03, 2.4174e+01
1.8750e-03, 2.3355e+01
2.0000e-03, 2.2613e+01
2.1875e-03, 2.1622e+01
2.3750e-03, 2.0751e+01
2.5625e-03, 1.9977e+01
2.7500e-03, 1.9284e+01
2.9375e-03, 1.8659e+01
3.1250e-03, 1.8090e+01
3.3125e-03, 1.7571e+01
3.5000e-03, 1.7094e+01
3.8750e-03, 1.6245e+01
4.2500e-03, 1.5512e+01
4.6250e-03, 1.4870e+01
5.0000e-03, 1.4301e+01
5.3125e-03, 1.3874e+01
5.6250e-03, 1.3483e+01
5.9375e-03, 1.3123e+01
6.2500e-03, 1.2791e+01
6.8750e-03, 1.2196e+01
7.5000e-03, 1.1676e+01
8.1250e-03, 1.1218e+01
8.7500e-03, 1.0810e+01
9.3750e-03, 1.0443e+01
1.0000e-02, 1.0111e+01
1.0625e-02, 9.8094e+00
1.1250e-02, 9.5330e+00
1.1875e-02, 9.2787e+00
1.2500e-02, 9.0437e+00
1.3750e-02, 8.6228e+00
1.5000e-02, 8.2556e+00
1.6250e-02, 7.9314e+00
1.7500e-02, 7.6426e+00
1.8750e-02, 7.3831e+00
2.0000e-02, 7.1484e+00
2.1325e-02, 6.9225e+00
2.2650e-02, 6.7168e+00
2.3975e-02, 6.5284e+00
2.5300e-02, 6.3550e+00
2.6844e-02, 6.1695e+00
2.8387e-02, 5.9995e+00
3.1475e-02, 5.6978e+00
3.4563e-02, 5.4373e+00
3.7650e-02, 5.2094e+00
4.0738e-02, 5.0077e+00
4.3825e-02, 4.8277e+00
4.6913e-02, 4.6658e+00
5.0000e-02, 4.5191e+00
5.3125e-02, 4.3840e+00
5.6250e-02, 4.2604e+00
5.9375e-02, 4.1467e+00
6.2500e-02, 4.0418e+00
6.8750e-02, 3.8537e+00
7.5000e-02, 3.6892e+00
8.1250e-02, 3.5440e+00
8.7500e-02, 3.4146e+00
9.3750e-02, 3.2984e+00
1.0000e-01, 3.1933e+00
1.0625e-01, 3.0976e+00
1.1250e-01, 3.0101e+00
1.1875e-01, 2.9297e+00
1.2500e-01, 2.8556e+00
1.3750e-01, 2.7225e+00
1.5000e-01, 2.6061e+00
1.6250e-01, 2.5032e+00
1.7500e-01, 2.4116e+00
1.8750e-01, 2.3295e+00
2.0000e-01, 2.2553e+00
2.1875e-01, 2.1560e+00
2.3750e-01, 2.0685e+00
2.5625e-01, 1.9908e+00
2.7500e-01, 1.9212e+00
2.9375e-01, 1.8583e+00
3.1250e-01, 1.8012e+00
3.3125e-01, 1.7490e+00
3.5000e-01, 1.7014e+00
3.8750e-01, 1.6164e+00
