ebin, xs
1.0000e-05, 2.2845e+00
1.0625e-05, 2.2163e+00
1.1250e-05, 2.1539e+00
1.1875e-05, 2.0964e+00
1.2500e-05, 2.0433e+00
1.3750e-05, 1.9482e+00
1.5000e-05, 1.8653e+00
1.6250e-05, 1.7921e+00
1.7500e-05, 1.7269e+00
1.8750e-05, 1.6684e+00
2.0000e-05, 1.6154e+00
2.1875e-05, 1.5446e+00
2.3750e-05, 1.4824e+00
2.5625e-05, 1.4271e+00
2.7500e-05, 1.3776e+00
2.9375e-05, 1.3329e+00
3.1250e-05, 1.2923e+00
3.3125e-05, 1.2552e+00
3.5000e-05, 1.2211e+00
3.8750e-05, 1.1605e+00
4.2500e-05, 1.1081e+00
4.6250e-05, 1.0623e+00
5.0000e-05, 1.0217e+00
5.3125e-05, 9.9116e-01
5.6250e-05, 9.6323e-01
5.9375e-05, 9.3754e-01
6.2500e-05, 9.1380e-01
6.8750e-05, 8.7128e-01
7.5000e-05, 8.3418e-01
8.1250e-05, 8.0146e-01
8.7500e-05, 7.7230e-01
9.3750e-05, 7.4612e-01
1.0000e-04, 7.2242e-01
1.0625e-04, 7.0085e-01
1.1250e-04, 6.8111e-01
1.1875e-04, 6.6294e-01
1.2500e-04, 6.4616e-01
1.3750e-04, 6.1608e-01
1.5000e-04, 5.8986e-01
1.6250e-04, 5.6672e-01
1.7500e-04, 5.4610e-01
1.8750e-04, 5.2758e-01
2.0000e-04, 5.1083e-01
2.1875e-04, 4.8845e-01
2.3750e-04, 4.6877e-01
2.5625e-04, 4.5129e-01
2.7500e-04, 4.3564e-01
2.9375e-04, 4.2150e-01
3.1250e-04, 4.0866e-01
3.3125e-04, 3.9693e-01
3.5000e-04, 3.8615e-01
3.8750e-04, 3.6699e-01
4.2500e-04, 3.5043e-01
4.6250e-04, 3.3592e-01
5.0000e-04, 3.2308e-01
5.3125e-04, 3.1343e-01
5.6250e-04, 3.0460e-01
5.9375e-04, 2.9648e-01
6.2500e-04, 2.8897e-01
6.8750e-04, 2.7552e-01
7.5000e-04, 2.6379e-01
8.1250e-04, 2.5344e-01
8.7500e-04, 2.4422e-01
9.3750e-04, 2.3594e-01
1.0000e-03, 2.2845e-01
1.0625e-03, 2.2163e-01
1.1250e-03, 2.1538e-01
1.1875e-03, 2.0964e-01
1.2500e-03, 2.0433e-01
1.3750e-03, 1.9482e-01
1.5000e-03, 1.8653e-01
1.6250e-03, 1.7921e-01
1.7500e-03, 1.7269e-01
1.8750e-03, 1.6683e-01
2.0000e-03, 1.6154e-01
2.1875e-03, 1.5446e-01
2.3750e-03, 1.4824e-01
2.5625e-03, 1.4271e-01
2.7500e-03, 1.3776e-01
2.9375e-03, 1.3329e-01
3.1250e-03, 1.2923e-01
3.3125e-03, 1.2552e-01
3.5000e-03, 1.2211e-01
3.8750e-03, 1.1605e-01
4.2500e-03, 1.1081e-01
4.6250e-03, 1.0622e-01
5.0000e-03, 1.0216e-01
5.3125e-03, 9.9113e-02
5.6250e-03, 9.6320e-02
5.9375e-03, 9.3751e-02
6.2500e-03, 9.1377e-02
6.8750e-03, 8.7125e-02
7.5000e-03, 8.3415e-02
8.1250e-03, 8.0143e-02
8.7500e-03, 7.7228e-02
9.3750e-03, 7.4609e-02
1.0000e-02, 7.2240e-02
1.0625e-02, 7.0083e-02
1.1250e-02, 6.8108e-02
