ebin, xs
1.0000e-05, 5.7675e+01
1.0625e-05, 5.5953e+01
1.1250e-05, 5.4376e+01
1.1875e-05, 5.2926e+01
1.2500e-05, 5.1586e+01
1.3750e-05, 4.9185e+01
1.5000e-05, 4.7092e+01
1.6250e-05, 4.5244e+01
1.7500e-05, 4.3598e+01
1.8750e-05, 4.2120e+01
2.0000e-05, 4.0783e+01
2.2000e-05, 3.8885e+01
2.4000e-05, 3.7229e+01
2.6250e-05, 3.5598e+01
2.8500e-05, 3.4164e+01
3.0750e-05, 3.2891e+01
3.3000e-05, 3.1750e+01
3.5250e-05, 3.0720e+01
3.7500e-05, 2.9784e+01
3.9750e-05, 2.8929e+01
4.2000e-05, 2.8143e+01
4.6000e-05, 2.6892e+01
5.0000e-05, 2.5794e+01
5.4012e-05, 2.4817e+01
5.8025e-05, 2.3944e+01
6.2037e-05, 2.3157e+01
6.6050e-05, 2.2443e+01
7.0063e-05, 2.1791e+01
7.4075e-05, 2.1192e+01
8.2100e-05, 2.0130e+01
8.6575e-05, 1.9603e+01
9.1050e-05, 1.9115e+01
1.0000e-04, 1.8240e+01
1.0625e-04, 1.7695e+01
1.1250e-04, 1.7197e+01
1.1875e-04, 1.6738e+01
1.2500e-04, 1.6315e+01
1.3750e-04, 1.5556e+01
1.5000e-04, 1.4893e+01
1.6250e-04, 1.4309e+01
1.7500e-04, 1.3789e+01
1.8750e-04, 1.3322e+01
2.0000e-04, 1.2899e+01
2.1200e-04, 1.2528e+01
2.2400e-04, 1.2188e+01
2.4800e-04, 1.1584e+01
2.7200e-04, 1.1061e+01
2.9600e-04, 1.0603e+01
3.2150e-04, 1.0174e+01
3.4700e-04, 9.7937e+00
3.7250e-04, 9.4527e+00
3.9800e-04, 9.1451e+00
4.2350e-04, 8.8656e+00
4.4900e-04, 8.6104e+00
4.7450e-04, 8.3760e+00
5.0000e-04, 8.1598e+00
5.4062e-04, 7.8474e+00
5.8125e-04, 7.5684e+00
6.2188e-04, 7.3173e+00
6.6250e-04, 7.0896e+00
7.0312e-04, 6.8819e+00
7.4375e-04, 6.6915e+00
7.8438e-04, 6.5161e+00
8.2500e-04, 6.3538e+00
9.1250e-04, 6.0418e+00
1.0000e-03, 5.7718e+00
1.0925e-03, 5.5224e+00
1.1850e-03, 5.3027e+00
1.2775e-03, 5.1074e+00
1.3700e-03, 4.9323e+00
1.4487e-03, 4.7965e+00
1.5275e-03, 4.6715e+00
1.6850e-03, 4.4482e+00
1.8425e-03, 4.2542e+00
2.0000e-03, 4.0835e+00
2.1272e-03, 3.9598e+00
2.2545e-03, 3.8466e+00
2.3818e-03, 3.7427e+00
2.5090e-03, 3.6468e+00
2.7635e-03, 3.4752e+00
3.0180e-03, 3.3258e+00
3.2725e-03, 3.1942e+00
3.5270e-03, 3.0772e+00
3.7815e-03, 2.9721e+00
4.0360e-03, 2.8772e+00
4.2770e-03, 2.7952e+00
4.5180e-03, 2.7199e+00
5.0000e-03, 2.5859e+00
5.4588e-03, 2.4753e+00
5.9175e-03, 2.3778e+00
6.3762e-03, 2.2910e+00
6.8350e-03, 2.2131e+00
7.2937e-03, 2.1427e+00
7.7525e-03, 2.0787e+00
8.2112e-03, 2.0200e+00
8.6700e-03, 1.9661e+00
9.3350e-03, 1.8952e+00
1.0000e-02, 1.8314e+00
1.0625e-02, 1.7771e+00
1.1250e-02, 1.7273e+00
1.1875e-02, 1.6815e+00
1.2500e-02, 1.6392e+00
1.3750e-02, 1.5634e+00
1.5000e-02, 1.4973e+00
1.6250e-02, 1.4390e+00
1.7500e-02, 1.3871e+00
1.8750e-02, 1.3404e+00
2.0000e-02, 1.2982e+00
2.2080e-02, 1.2361e+00
2.4160e-02, 1.1822e+00
2.5300e-02, 1.1555e+00
2.7725e-02, 1.1043e+00
3.0150e-02, 1.0595e+00
3.2575e-02, 1.0197e+00
3.5000e-02, 9.8420e-01
3.7425e-02, 9.5218e-01
3.9850e-02, 9.2313e-01
4.2275e-02, 8.9661e-01
4.4700e-02, 8.7228e-01
4.7350e-02, 8.4786e-01
5.0000e-02, 8.2541e-01
5.4870e-02, 7.8849e-01
5.7990e-02, 7.6733e-01
6.1110e-02, 7.4782e-01
6.7350e-02, 7.1293e-01
7.1180e-02, 6.9384e-01
7.5010e-02, 6.7625e-01
8.1257e-02, 6.5031e-01
8.7505e-02, 6.2714e-01
9.3753e-02, 6.0627e-01
1.0000e-01, 5.8737e-01
1.0652e-01, 5.6948e-01
1.1305e-01, 5.5322e-01
1.2460e-01, 5.2758e-01
1.3167e-01, 5.1355e-01
1.3875e-01, 5.0066e-01
