ebin, xs
1.0000e-05, 1.9177e-01
1.0625e-05, 1.8605e-01
1.1250e-05, 1.8081e-01
1.1875e-05, 1.7598e-01
1.2500e-05, 1.7153e-01
1.3750e-05, 1.6355e-01
1.5000e-05, 1.5658e-01
1.6250e-05, 1.5044e-01
1.7500e-05, 1.4497e-01
1.8750e-05, 1.4005e-01
2.0000e-05, 1.3561e-01
2.1875e-05, 1.2966e-01
2.3750e-05, 1.2444e-01
2.5625e-05, 1.1980e-01
2.7500e-05, 1.1565e-01
2.9375e-05, 1.1189e-01
3.1250e-05, 1.0849e-01
3.3125e-05, 1.0537e-01
3.5000e-05, 1.0251e-01
3.8750e-05, 9.7424e-02
4.2500e-05, 9.3027e-02
4.6250e-05, 8.9176e-02
5.0000e-05, 8.5767e-02
5.3125e-05, 8.3206e-02
5.6250e-05, 8.0862e-02
5.9375e-05, 7.8705e-02
6.2500e-05, 7.6713e-02
6.8750e-05, 7.3143e-02
7.5000e-05, 7.0030e-02
8.1250e-05, 6.7283e-02
8.7500e-05, 6.4835e-02
9.3750e-05, 6.2637e-02
1.0000e-04, 6.0649e-02
1.0625e-04, 5.8838e-02
1.1250e-04, 5.7181e-02
1.1875e-04, 5.5656e-02
1.2500e-04, 5.4247e-02
1.3750e-04, 5.1723e-02
1.5000e-04, 4.9521e-02
1.6250e-04, 4.7579e-02
1.7500e-04, 4.5849e-02
1.8750e-04, 4.4294e-02
2.0000e-04, 4.2888e-02
2.1875e-04, 4.1010e-02
2.3750e-04, 3.9358e-02
2.5625e-04, 3.7891e-02
2.7500e-04, 3.6577e-02
2.9375e-04, 3.5391e-02
3.1250e-04, 3.4313e-02
3.3125e-04, 3.3329e-02
3.5000e-04, 3.2424e-02
3.8750e-04, 3.0816e-02
4.2500e-04, 2.9426e-02
4.6250e-04, 2.8208e-02
5.0000e-04, 2.7131e-02
5.3125e-04, 2.6321e-02
5.6250e-04, 2.5580e-02
5.9375e-04, 2.4898e-02
6.2500e-04, 2.4268e-02
6.8750e-04, 2.3140e-02
7.5000e-04, 2.2156e-02
8.1250e-04, 2.1287e-02
8.7500e-04, 2.0514e-02
9.3750e-04, 1.9819e-02
1.0000e-03, 1.9190e-02
1.0625e-03, 1.8618e-02
1.1250e-03, 1.8094e-02
1.1875e-03, 1.7612e-02
1.2500e-03, 1.7167e-02
1.3750e-03, 1.6369e-02
1.5000e-03, 1.5673e-02
1.6250e-03, 1.5060e-02
1.7500e-03, 1.4513e-02
1.8750e-03, 1.4021e-02
2.0000e-03, 1.3577e-02
2.1875e-03, 1.2983e-02
2.3750e-03, 1.2461e-02
2.5625e-03, 1.1998e-02
2.7500e-03, 1.1582e-02
2.9375e-03, 1.1208e-02
3.1250e-03, 1.0867e-02
3.3125e-03, 1.0556e-02
3.5000e-03, 1.0270e-02
3.8750e-03, 9.7614e-03
4.2500e-03, 9.3220e-03
4.6250e-03, 8.9371e-03
5.0000e-03, 8.5964e-03
5.3125e-03, 8.3404e-03
5.6250e-03, 8.1061e-03
5.9375e-03, 7.8905e-03
6.2500e-03, 7.6913e-03
6.8750e-03, 7.3344e-03
7.5000e-03, 7.0231e-03
8.1250e-03, 6.7484e-03
8.7500e-03, 6.5037e-03
9.3750e-03, 6.2838e-03
1.0000e-02, 6.0849e-03
1.0625e-02, 5.9037e-03
1.1250e-02, 5.7379e-03
1.1875e-02, 5.5853e-03
1.2500e-02, 5.4443e-03
1.3750e-02, 5.1917e-03
1.5000e-02, 4.9712e-03
1.6250e-02, 4.7767e-03
1.7500e-02, 4.6034e-03
1.8750e-02, 4.4476e-03
2.0000e-02, 4.3067e-03
2.1325e-02, 4.1710e-03
2.2650e-02, 4.0473e-03
2.3975e-02, 3.9340e-03
2.5300e-02, 3.8297e-03
2.6844e-02, 3.7181e-03
2.8387e-02, 3.6156e-03
3.1475e-02, 3.4336e-03
3.4563e-02, 3.2766e-03
3.7650e-02, 3.1392e-03
4.0738e-02, 3.0177e-03
4.3825e-02, 2.9092e-03
4.6913e-02, 2.8117e-03
5.0000e-02, 2.7233e-03
5.3125e-02, 2.6419e-03
5.6250e-02, 2.5673e-03
5.9375e-02, 2.4987e-03
6.2500e-02, 2.4354e-03
6.8750e-02, 2.3218e-03
7.5000e-02, 2.2228e-03
8.1250e-02, 2.1354e-03
8.7500e-02, 2.0575e-03
9.3750e-02, 1.9876e-03
1.0000e-01, 1.9243e-03
1.0625e-01, 1.8667e-03
1.1250e-01, 1.8141e-03
1.1875e-01, 1.7656e-03
1.2500e-01, 1.7209e-03
1.3750e-01, 1.6407e-03
1.5000e-01, 1.5707e-03
1.6250e-01, 1.5089e-03
1.7500e-01, 1.4539e-03
1.8750e-01, 1.4045e-03
2.0000e-01, 1.3598e-03
2.1875e-01, 1.3002e-03
2.3750e-01, 1.2477e-03
2.5625e-01, 1.2010e-03
2.7500e-01, 1.1592e-03
2.9375e-01, 1.1215e-03
3.1250e-01, 1.0873e-03
3.3125e-01, 1.0561e-03
3.5000e-01, 1.0274e-03
3.8750e-01, 9.7642e-04
4.2500e-01, 9.3224e-04
5.0000e-01, 8.5946e-04
6.2500e-01, 7.6855e-04
7.5000e-01, 7.0132e-04
8.7500e-01, 6.4938e-04
1.0000e+00, 6.0750e-04
1.2500e+00, 5.4306e-04
1.5000e+00, 4.9555e-04
1.7500e+00, 4.5883e-04
2.0000e+00, 4.2917e-04
2.3750e+00, 3.9376e-04
2.7500e+00, 3.6595e-04
3.1250e+00, 3.4318e-04
3.5000e+00, 3.2420e-04
4.2500e+00, 2.9409e-04
5.0000e+00, 2.7111e-04
6.2500e+00, 2.4243e-04
7.5000e+00, 2.2124e-04
8.7500e+00, 2.0481e-04
1.0000e+01, 1.9158e-04
1.2500e+01, 1.7128e-04
1.5000e+01, 1.5631e-04
1.7500e+01, 1.4471e-04
