ebin, xs
1.0000e-05, 3.3244e+01
1.0625e-05, 3.2251e+01
1.1250e-05, 3.1343e+01
1.1875e-05, 3.0507e+01
1.2500e-05, 2.9734e+01
1.3750e-05, 2.8351e+01
1.5000e-05, 2.7144e+01
1.6250e-05, 2.6079e+01
1.7500e-05, 2.5130e+01
1.8750e-05, 2.4278e+01
2.0000e-05, 2.3507e+01
2.1875e-05, 2.2477e+01
2.3750e-05, 2.1572e+01
2.5625e-05, 2.0767e+01
2.7500e-05, 2.0047e+01
2.9375e-05, 1.9397e+01
3.1250e-05, 1.8806e+01
3.3125e-05, 1.8266e+01
3.5000e-05, 1.7770e+01
3.8750e-05, 1.6888e+01
4.2500e-05, 1.6126e+01
4.6250e-05, 1.5458e+01
5.0000e-05, 1.4867e+01
5.3125e-05, 1.4423e+01
5.6250e-05, 1.4017e+01
5.9375e-05, 1.3643e+01
6.2500e-05, 1.3298e+01
6.8750e-05, 1.2679e+01
7.5000e-05, 1.2139e+01
8.1250e-05, 1.1663e+01
8.7500e-05, 1.1239e+01
9.3750e-05, 1.0857e+01
1.0000e-04, 1.0513e+01
1.0625e-04, 1.0199e+01
1.1250e-04, 9.9114e+00
1.1875e-04, 9.6471e+00
1.2500e-04, 9.4028e+00
1.3750e-04, 8.9652e+00
1.5000e-04, 8.5835e+00
1.6250e-04, 8.2468e+00
1.7500e-04, 7.9468e+00
1.8750e-04, 7.6773e+00
2.0000e-04, 7.4335e+00
2.1875e-04, 7.1078e+00
2.3750e-04, 6.8215e+00
2.5625e-04, 6.5672e+00
2.7500e-04, 6.3393e+00
2.9375e-04, 6.1337e+00
3.1250e-04, 5.9468e+00
3.3125e-04, 5.7760e+00
3.5000e-04, 5.6192e+00
3.8750e-04, 5.3404e+00
4.2500e-04, 5.0993e+00
4.6250e-04, 4.8882e+00
5.0000e-04, 4.7013e+00
5.3125e-04, 4.5609e+00
5.6250e-04, 4.4324e+00
5.9375e-04, 4.3142e+00
6.2500e-04, 4.2049e+00
6.8750e-04, 4.0092e+00
7.5000e-04, 3.8386e+00
8.1250e-04, 3.6880e+00
8.7500e-04, 3.5538e+00
9.3750e-04, 3.4333e+00
1.0000e-03, 3.3243e+00
1.0625e-03, 3.2250e+00
1.1250e-03, 3.1342e+00
1.1875e-03, 3.0506e+00
1.2500e-03, 2.9733e+00
1.3750e-03, 2.8350e+00
1.5000e-03, 2.7143e+00
1.6250e-03, 2.6078e+00
