ebin, xs
1.0000e-05, 7.3516e+00
1.0625e-05, 7.1321e+00
1.1250e-05, 6.9312e+00
1.1875e-05, 6.7463e+00
1.2500e-05, 6.5755e+00
1.3750e-05, 6.2695e+00
1.5000e-05, 6.0026e+00
1.6250e-05, 5.7671e+00
1.7500e-05, 5.5573e+00
1.8750e-05, 5.3688e+00
2.0000e-05, 5.1984e+00
2.1875e-05, 4.9706e+00
2.3750e-05, 4.7703e+00
2.5625e-05, 4.5925e+00
2.7500e-05, 4.4332e+00
2.9375e-05, 4.2894e+00
3.1250e-05, 4.1587e+00
3.3125e-05, 4.0393e+00
3.5000e-05, 3.9296e+00
3.8750e-05, 3.7346e+00
4.2500e-05, 3.5660e+00
4.6250e-05, 3.4184e+00
5.0000e-05, 3.2877e+00
5.3125e-05, 3.1896e+00
5.6250e-05, 3.0997e+00
5.9375e-05, 3.0170e+00
6.2500e-05, 2.9406e+00
6.8750e-05, 2.8038e+00
7.5000e-05, 2.6844e+00
8.1250e-05, 2.5791e+00
8.7500e-05, 2.4853e+00
9.3750e-05, 2.4010e+00
1.0000e-04, 2.3248e+00
1.0625e-04, 2.2554e+00
1.1250e-04, 2.1918e+00
1.1875e-04, 2.1334e+00
1.2500e-04, 2.0793e+00
1.3750e-04, 1.9826e+00
1.5000e-04, 1.8982e+00
1.6250e-04, 1.8237e+00
1.7500e-04, 1.7574e+00
1.8750e-04, 1.6978e+00
2.0000e-04, 1.6439e+00
2.1875e-04, 1.5718e+00
2.3750e-04, 1.5085e+00
2.5625e-04, 1.4523e+00
2.7500e-04, 1.4019e+00
2.9375e-04, 1.3564e+00
3.1250e-04, 1.3151e+00
3.3125e-04, 1.2773e+00
3.5000e-04, 1.2426e+00
3.8750e-04, 1.1810e+00
4.2500e-04, 1.1277e+00
4.6250e-04, 1.0810e+00
5.0000e-04, 1.0397e+00
5.3125e-04, 1.0086e+00
5.6250e-04, 9.8019e-01
5.9375e-04, 9.5405e-01
6.2500e-04, 9.2989e-01
6.8750e-04, 8.8661e-01
7.5000e-04, 8.4887e-01
8.1250e-04, 8.1556e-01
8.7500e-04, 7.8590e-01
9.3750e-04, 7.5925e-01
1.0000e-03, 7.3514e-01
1.0625e-03, 7.1318e-01
1.1250e-03, 6.9309e-01
1.1875e-03, 6.7460e-01
1.2500e-03, 6.5752e-01
1.3750e-03, 6.2692e-01
1.5000e-03, 6.0023e-01
1.6250e-03, 5.7668e-01
1.7500e-03, 5.5570e-01
1.8750e-03, 5.3686e-01
2.0000e-03, 5.1981e-01
2.1875e-03, 4.9703e-01
2.3750e-03, 4.7700e-01
2.5625e-03, 4.5922e-01
2.7500e-03, 4.4329e-01
2.9375e-03, 4.2891e-01
3.1250e-03, 4.1584e-01
3.3125e-03, 4.0390e-01
3.5000e-03, 3.9293e-01
3.8750e-03, 3.7343e-01
4.2500e-03, 3.5657e-01
4.6250e-03, 3.4180e-01
5.0000e-03, 3.2873e-01
5.3125e-03, 3.1891e-01
5.6250e-03, 3.0992e-01
5.9375e-03, 3.0165e-01
6.2500e-03, 2.9401e-01
6.8750e-03, 2.8032e-01
7.5000e-03, 2.6838e-01
8.1250e-03, 2.5784e-01
8.7500e-03, 2.4846e-01
9.3750e-03, 2.4002e-01
1.0000e-02, 2.3240e-01
1.0625e-02, 2.2545e-01
1.1250e-02, 2.1910e-01
1.1875e-02, 2.1326e-01
1.2500e-02, 2.0786e-01
1.3750e-02, 1.9818e-01
1.5000e-02, 1.8974e-01
1.6250e-02, 1.8228e-01
1.7500e-02, 1.7564e-01
1.8750e-02, 1.6967e-01
2.0000e-02, 1.6427e-01
2.1325e-02, 1.5908e-01
2.2650e-02, 1.5435e-01
2.3975e-02, 1.5001e-01
2.5300e-02, 1.4603e-01
2.6844e-02, 1.4176e-01
2.8387e-02, 1.3785e-01
2.9931e-02, 1.3425e-01
3.1475e-02, 1.3092e-01
3.4563e-02, 1.2493e-01
3.7650e-02, 1.1968e-01
4.0738e-02, 1.1504e-01
4.3825e-02, 1.1090e-01
4.6913e-02, 1.0718e-01
5.0000e-02, 1.0380e-01
5.3125e-02, 1.0069e-01
5.6250e-02, 9.7847e-02
5.9375e-02, 9.5233e-02
6.2500e-02, 9.2821e-02
6.8750e-02, 8.8494e-02
7.5000e-02, 8.4708e-02
8.1250e-02, 8.1365e-02
8.7500e-02, 7.8386e-02
9.3750e-02, 7.5711e-02
1.0000e-01, 7.3291e-02
1.0625e-01, 7.1088e-02
1.1250e-01, 6.9072e-02
1.1875e-01, 6.7220e-02
1.2500e-01, 6.5514e-02
1.3750e-01, 6.2450e-02
1.5000e-01, 5.9765e-02
1.6250e-01, 5.7396e-02
1.7500e-01, 5.5285e-02
1.8750e-01, 5.3389e-02
2.0000e-01, 5.1680e-02
2.1875e-01, 4.9392e-02
2.3750e-01, 4.7373e-02
2.5625e-01, 4.5579e-02
2.7500e-01, 4.3971e-02
2.9375e-01, 4.2520e-02
3.1250e-01, 4.1201e-02
3.3125e-01, 3.9995e-02
3.5000e-01, 3.8895e-02
3.8750e-01, 3.6930e-02
4.2500e-01, 3.5222e-02
5.0000e-01, 3.2404e-02
6.2500e-01, 2.8877e-02
7.5000e-01, 2.6261e-02
8.7500e-01, 2.4228e-02
1.0000e+00, 2.2584e-02
1.2500e+00, 2.0050e-02
1.5000e+00, 1.8170e-02
1.7500e+00, 1.6703e-02
2.0000e+00, 1.5514e-02
2.3750e+00, 1.4085e-02
2.7500e+00, 1.2953e-02
3.1250e+00, 1.2023e-02
3.5000e+00, 1.1242e-02
4.2500e+00, 9.9921e-03
5.0000e+00, 9.0261e-03
5.6250e+00, 8.3683e-03
6.2500e+00, 7.8075e-03
7.5000e+00, 6.8970e-03
8.7500e+00, 6.1841e-03
1.0000e+01, 5.6062e-03
1.1250e+01, 5.1253e-03
1.2500e+01, 4.7180e-03
1.3750e+01, 4.3677e-03
1.5000e+01, 4.0628e-03
1.7500e+01, 3.5574e-03
2.0000e+01, 3.1547e-03
2.1875e+01, 2.9024e-03
2.3750e+01, 2.6842e-03
2.7500e+01, 2.3255e-03
3.1250e+01, 2.0447e-03
3.5000e+01, 1.8214e-03
3.8750e+01, 1.6420e-03
4.2500e+01, 1.4973e-03
4.6250e+01, 1.3811e-03
5.0000e+01, 1.2894e-03
5.3125e+01, 1.2297e-03
5.6250e+01, 1.1847e-03
5.9375e+01, 1.1541e-03
6.2500e+01, 1.1388e-03
6.5625e+01, 1.1404e-03
6.8750e+01, 1.1621e-03
7.1875e+01, 1.2087e-03
7.5000e+01, 1.2881e-03
7.8125e+01, 1.4137e-03
8.1250e+01, 1.6070e-03
8.2812e+01, 1.7396e-03
8.4375e+01, 1.9063e-03
8.5938e+01, 2.1169e-03
8.7500e+01, 2.3860e-03
8.8867e+01, 2.6874e-03
9.0234e+01, 3.0745e-03
9.1602e+01, 3.5778e-03
9.2969e+01, 4.2142e-03
9.3652e+01, 4.6235e-03
9.4336e+01, 5.1047e-03
9.5020e+01, 5.6748e-03
9.5703e+01, 6.3558e-03
9.6387e+01, 7.1771e-03
9.7070e+01, 8.1793e-03
9.7754e+01, 9.4204e-03
9.8438e+01, 1.0968e-02
9.8828e+01, 1.2036e-02
9.9219e+01, 1.3288e-02
9.9609e+01, 1.4753e-02
1.0000e+02, 1.6484e-02
1.0039e+02, 1.8563e-02
1.0079e+02, 2.1068e-02
1.0118e+02, 2.4126e-02
1.0158e+02, 2.7889e-02
1.0197e+02, 3.2592e-02
1.0217e+02, 3.5432e-02
1.0236e+02, 3.8666e-02
1.0256e+02, 4.2370e-02
1.0276e+02, 4.6638e-02
1.0295e+02, 5.1589e-02
1.0315e+02, 5.7375e-02
1.0336e+02, 6.4700e-02
1.0357e+02, 7.3532e-02
1.0378e+02, 8.4313e-02
1.0399e+02, 9.7634e-02
1.0420e+02, 1.1435e-01
1.0431e+02, 1.2437e-01
1.0441e+02, 1.3581e-01
1.0452e+02, 1.4894e-01
1.0462e+02, 1.6410e-01
1.0472e+02, 1.8175e-01
1.0483e+02, 2.0244e-01
1.0495e+02, 2.3033e-01
1.0507e+02, 2.6448e-01
1.0518e+02, 3.0696e-01
1.0530e+02, 3.6080e-01
1.0536e+02, 3.9334e-01
1.0542e+02, 4.3062e-01
1.0548e+02, 4.7364e-01
1.0554e+02, 5.2365e-01
1.0560e+02, 5.8255e-01
1.0566e+02, 6.5250e-01
1.0572e+02, 7.3703e-01
1.0578e+02, 8.4061e-01
1.0583e+02, 9.7074e-01
1.0586e+02, 1.0492e+00
1.0589e+02, 1.1386e+00
1.0592e+02, 1.2421e+00
1.0595e+02, 1.3624e+00
1.0598e+02, 1.5038e+00
1.0601e+02, 1.6718e+00
1.0604e+02, 1.8737e+00
1.0607e+02, 2.1169e+00
1.0610e+02, 2.4126e+00
1.0613e+02, 2.7738e+00
1.0616e+02, 3.2180e+00
1.0619e+02, 3.7606e+00
1.0622e+02, 4.4239e+00
1.0625e+02, 5.2314e+00
1.0626e+02, 5.7819e+00
1.0628e+02, 6.3918e+00
1.0630e+02, 7.0731e+00
1.0632e+02, 7.8227e+00
1.0635e+02, 9.5604e+00
