ebin, xs
1.0000e-05, 4.3703e-01
1.0625e-05, 4.2398e-01
1.1250e-05, 4.1203e-01
1.1875e-05, 4.0104e-01
1.2500e-05, 3.9089e-01
1.3750e-05, 3.7270e-01
1.5000e-05, 3.5683e-01
1.6250e-05, 3.4283e-01
1.7500e-05, 3.3036e-01
1.8750e-05, 3.1916e-01
2.0000e-05, 3.0902e-01
2.1875e-05, 2.9548e-01
2.3750e-05, 2.8358e-01
2.5625e-05, 2.7301e-01
2.7500e-05, 2.6354e-01
2.9375e-05, 2.5499e-01
3.1250e-05, 2.4722e-01
3.3125e-05, 2.4012e-01
3.5000e-05, 2.3360e-01
3.8750e-05, 2.2201e-01
4.2500e-05, 2.1199e-01
4.6250e-05, 2.0321e-01
5.0000e-05, 1.9544e-01
5.3125e-05, 1.8961e-01
5.6250e-05, 1.8427e-01
5.9375e-05, 1.7935e-01
6.2500e-05, 1.7481e-01
6.8750e-05, 1.6668e-01
7.5000e-05, 1.5958e-01
8.1250e-05, 1.5332e-01
8.7500e-05, 1.4774e-01
9.3750e-05, 1.4273e-01
1.0000e-04, 1.3820e-01
1.0625e-04, 1.3407e-01
1.1250e-04, 1.3030e-01
1.1875e-04, 1.2682e-01
1.2500e-04, 1.2361e-01
1.3750e-04, 1.1786e-01
1.5000e-04, 1.1284e-01
1.6250e-04, 1.0841e-01
1.7500e-04, 1.0447e-01
1.8750e-04, 1.0093e-01
2.0000e-04, 9.7722e-02
2.1875e-04, 9.3440e-02
2.3750e-04, 8.9676e-02
2.5625e-04, 8.6333e-02
2.7500e-04, 8.3337e-02
2.9375e-04, 8.0634e-02
3.1250e-04, 7.8177e-02
3.3125e-04, 7.5933e-02
3.5000e-04, 7.3871e-02
3.8750e-04, 7.0205e-02
4.2500e-04, 6.7037e-02
4.6250e-04, 6.4261e-02
5.0000e-04, 6.1805e-02
5.3125e-04, 5.9959e-02
5.6250e-04, 5.8270e-02
5.9375e-04, 5.6716e-02
6.2500e-04, 5.5280e-02
6.8750e-04, 5.2707e-02
7.5000e-04, 5.0463e-02
8.1250e-04, 4.8484e-02
8.7500e-04, 4.6720e-02
9.3750e-04, 4.5136e-02
1.0000e-03, 4.3702e-02
1.0625e-03, 4.2398e-02
1.1250e-03, 4.1203e-02
1.1875e-03, 4.0104e-02
1.2500e-03, 3.9089e-02
1.3750e-03, 3.7270e-02
1.5000e-03, 3.5683e-02
1.6250e-03, 3.4283e-02
1.7500e-03, 3.3036e-02
1.8750e-03, 3.1916e-02
2.0000e-03, 3.0903e-02
2.1875e-03, 2.9549e-02
2.3750e-03, 2.8358e-02
2.5625e-03, 2.7301e-02
2.7500e-03, 2.6354e-02
2.9375e-03, 2.5499e-02
3.1250e-03, 2.4722e-02
3.3125e-03, 2.4012e-02
3.5000e-03, 2.3360e-02
3.8750e-03, 2.2201e-02
4.2500e-03, 2.1199e-02
4.6250e-03, 2.0322e-02
5.0000e-03, 1.9545e-02
5.3125e-03, 1.8961e-02
5.6250e-03, 1.8427e-02
5.9375e-03, 1.7935e-02
6.2500e-03, 1.7481e-02
6.8750e-03, 1.6667e-02
7.5000e-03, 1.5958e-02
8.1250e-03, 1.5332e-02
8.7500e-03, 1.4774e-02
9.3750e-03, 1.4273e-02
1.0000e-02, 1.3819e-02
1.0625e-02, 1.3407e-02
1.1250e-02, 1.3029e-02
1.1875e-02, 1.2682e-02
1.2500e-02, 1.2361e-02
1.3750e-02, 1.1786e-02
1.5000e-02, 1.1284e-02
1.6250e-02, 1.0841e-02
1.7500e-02, 1.0447e-02
1.8750e-02, 1.0092e-02
2.0000e-02, 9.7714e-03
2.1325e-02, 9.4628e-03
2.2650e-02, 9.1819e-03
