ebin, xs
1.0000e-05, 1.9116e+03
1.0625e-05, 1.8545e+03
1.1250e-05, 1.8023e+03
1.1875e-05, 1.7542e+03
1.2500e-05, 1.7098e+03
1.3750e-05, 1.6302e+03
1.5000e-05, 1.5608e+03
1.6250e-05, 1.4996e+03
1.7500e-05, 1.4451e+03
1.8750e-05, 1.3961e+03
2.0000e-05, 1.3517e+03
2.1875e-05, 1.2925e+03
2.3750e-05, 1.2404e+03
2.5625e-05, 1.1942e+03
2.7500e-05, 1.1528e+03
2.9375e-05, 1.1154e+03
3.1250e-05, 1.0814e+03
3.3125e-05, 1.0503e+03
3.5000e-05, 1.0218e+03
3.8750e-05, 9.7111e+02
4.2500e-05, 9.2728e+02
4.6250e-05, 8.8889e+02
5.0000e-05, 8.5491e+02
5.3125e-05, 8.2938e+02
5.6250e-05, 8.0602e+02
5.9375e-05, 7.8452e+02
6.2500e-05, 7.6466e+02
6.8750e-05, 7.2907e+02
7.5000e-05, 6.9803e+02
8.1250e-05, 6.7065e+02
8.7500e-05, 6.4625e+02
9.3750e-05, 6.2434e+02
1.0000e-04, 6.0452e+02
1.0625e-04, 5.8647e+02
1.1250e-04, 5.6994e+02
1.1875e-04, 5.5474e+02
1.2500e-04, 5.4070e+02
1.3750e-04, 5.1554e+02
1.5000e-04, 4.9359e+02
1.6250e-04, 4.7422e+02
1.7500e-04, 4.5698e+02
1.8750e-04, 4.4148e+02
2.0000e-04, 4.2746e+02
2.1875e-04, 4.0873e+02
2.3750e-04, 3.9227e+02
2.5625e-04, 3.7764e+02
2.7500e-04, 3.6454e+02
2.9375e-04, 3.5272e+02
3.1250e-04, 3.4197e+02
3.3125e-04, 3.3215e+02
3.5000e-04, 3.2313e+02
3.8750e-04, 3.0710e+02
4.2500e-04, 2.9324e+02
4.6250e-04, 2.8110e+02
5.0000e-04, 2.7036e+02
5.3125e-04, 2.6229e+02
5.6250e-04, 2.5490e+02
5.9375e-04, 2.4810e+02
6.2500e-04, 2.4182e+02
6.8750e-04, 2.3056e+02
7.5000e-04, 2.2075e+02
