ebin, xs
1.0000e-05, 7.4946e+03
1.0625e-05, 7.2708e+03
1.1250e-05, 7.0660e+03
1.1875e-05, 6.8775e+03
1.2500e-05, 6.7034e+03
1.3750e-05, 6.3914e+03
1.5000e-05, 6.1193e+03
1.6250e-05, 5.8792e+03
1.7500e-05, 5.6654e+03
1.8750e-05, 5.4733e+03
2.0000e-05, 5.2995e+03
2.1875e-05, 5.0673e+03
2.3750e-05, 4.8631e+03
2.5625e-05, 4.6818e+03
2.7500e-05, 4.5194e+03
2.9375e-05, 4.3728e+03
3.1250e-05, 4.2396e+03
3.3125e-05, 4.1179e+03
3.5000e-05, 4.0061e+03
3.8750e-05, 3.8073e+03
4.2500e-05, 3.6354e+03
4.6250e-05, 3.4849e+03
5.0000e-05, 3.3517e+03
5.3125e-05, 3.2516e+03
5.6250e-05, 3.1600e+03
5.9375e-05, 3.0758e+03
6.2500e-05, 2.9979e+03
6.8750e-05, 2.8584e+03
7.5000e-05, 2.7367e+03
8.1250e-05, 2.6293e+03
8.7500e-05, 2.5337e+03
9.3750e-05, 2.4478e+03
1.0000e-04, 2.3701e+03
1.0625e-04, 2.2993e+03
1.1250e-04, 2.2345e+03
1.1875e-04, 2.1749e+03
1.2500e-04, 2.1199e+03
1.3750e-04, 2.0212e+03
1.5000e-04, 1.9352e+03
1.6250e-04, 1.8593e+03
1.7500e-04, 1.7916e+03
1.8750e-04, 1.7309e+03
2.0000e-04, 1.6759e+03
2.1875e-04, 1.6025e+03
2.3750e-04, 1.5380e+03
2.5625e-04, 1.4806e+03
2.7500e-04, 1.4293e+03
2.9375e-04, 1.3829e+03
3.1250e-04, 1.3408e+03
3.3125e-04, 1.3023e+03
3.5000e-04, 1.2669e+03
3.8750e-04, 1.2041e+03
4.2500e-04, 1.1498e+03
4.6250e-04, 1.1022e+03
5.0000e-04, 1.0601e+03
5.3125e-04, 1.0284e+03
5.6250e-04, 9.9945e+02
5.9375e-04, 9.7280e+02
6.2500e-04, 9.4818e+02
6.8750e-04, 9.0407e+02
7.5000e-04, 8.6560e+02
8.1250e-04, 8.3165e+02
8.7500e-04, 8.0142e+02
9.3750e-04, 7.7426e+02
1.0000e-03, 7.4969e+02
1.0625e-03, 7.2732e+02
1.1250e-03, 7.0684e+02
1.1875e-03, 6.8800e+02
1.2500e-03, 6.7060e+02
1.3750e-03, 6.3941e+02
1.5000e-03, 6.1222e+02
1.6250e-03, 5.8822e+02
1.7500e-03, 5.6685e+02
1.8750e-03, 5.4765e+02
2.0000e-03, 5.3028e+02
2.1875e-03, 5.0708e+02
2.3750e-03, 4.8668e+02
2.5625e-03, 4.6856e+02
2.7500e-03, 4.5234e+02
2.9375e-03, 4.3769e+02
3.1250e-03, 4.2438e+02
3.3125e-03, 4.1222e+02
3.5000e-03, 4.0105e+02
3.8750e-03, 3.8120e+02
4.2500e-03, 3.6403e+02
4.6250e-03, 3.4900e+02
5.0000e-03, 3.3570e+02
5.3125e-03, 3.2571e+02
5.6250e-03, 3.1656e+02
5.9375e-03, 3.0815e+02
6.2500e-03, 3.0038e+02
6.8750e-03, 2.8645e+02
7.5000e-03, 2.7431e+02
8.1250e-03, 2.6360e+02
8.7500e-03, 2.5405e+02
9.3750e-03, 2.4549e+02
1.0000e-02, 2.3774e+02
1.0625e-02, 2.3068e+02
1.1250e-02, 2.2423e+02
1.1875e-02, 2.1830e+02
1.2500e-02, 2.1282e+02
1.3750e-02, 2.0300e+02
1.5000e-02, 1.9443e+02
1.6250e-02, 1.8687e+02
1.7500e-02, 1.8014e+02
1.8750e-02, 1.7410e+02
2.0000e-02, 1.6863e+02
2.1325e-02, 1.6337e+02
2.2650e-02, 1.5859e+02
2.3975e-02, 1.5421e+02
2.5300e-02, 1.5019e+02
2.6844e-02, 1.4588e+02
2.8387e-02, 1.4194e+02
3.1475e-02, 1.3494e+02
3.4563e-02, 1.2890e+02
3.7650e-02, 1.2362e+02
4.0738e-02, 1.1895e+02
4.3825e-02, 1.1479e+02
4.6913e-02, 1.1105e+02
5.0000e-02, 1.0767e+02
5.3125e-02, 1.0456e+02
5.6250e-02, 1.0172e+02
5.9375e-02, 9.9107e+01
6.2500e-02, 9.6702e+01
6.8750e-02, 9.2395e+01
7.5000e-02, 8.8636e+01
8.1250e-02, 8.5324e+01
8.7500e-02, 8.2382e+01
9.3750e-02, 7.9745e+01
1.0000e-01, 7.7367e+01
1.0625e-01, 7.5212e+01
1.1250e-01, 7.3251e+01
1.2500e-01, 6.9784e+01
1.3750e-01, 6.6800e+01
1.5000e-01, 6.4212e+01
1.6250e-01, 6.1941e+01
1.7500e-01, 5.9929e+01
1.8750e-01, 5.8133e+01
2.0000e-01, 5.6523e+01
2.1875e-01, 5.4385e+01
2.3750e-01, 5.2516e+01
2.5625e-01, 5.0871e+01
2.7500e-01, 4.9413e+01
2.9375e-01, 4.8109e+01
3.1250e-01, 4.6937e+01
3.3125e-01, 4.5878e+01
3.5000e-01, 4.4924e+01
3.8750e-01, 4.3250e+01
4.2500e-01, 4.1830e+01
5.0000e-01, 3.9587e+01
5.6250e-01, 3.8159e+01
6.2500e-01, 3.7017e+01
6.8750e-01, 3.6098e+01
7.1875e-01, 3.5708e+01
7.5000e-01, 3.5362e+01
7.8125e-01, 3.5053e+01
8.1250e-01, 3.4778e+01
8.4375e-01, 3.4533e+01
8.5938e-01, 3.4421e+01
8.7500e-01, 3.4316e+01
8.9648e-01, 3.4183e+01
9.1797e-01, 3.4062e+01
9.3945e-01, 3.3952e+01
9.6094e-01, 3.3853e+01
9.8047e-01, 3.3771e+01
1.0000e+00, 3.3698e+01
1.0127e+00, 3.3655e+01
1.0254e+00, 3.3615e+01
1.0381e+00, 3.3578e+01
1.0508e+00, 3.3544e+01
1.0635e+00, 3.3513e+01
1.0762e+00, 3.3485e+01
1.0889e+00, 3.3461e+01
1.1016e+00, 3.3439e+01
1.1152e+00, 3.3418e+01
1.1289e+00, 3.3401e+01
1.1426e+00, 3.3386e+01
1.1562e+00, 3.3375e+01
1.1680e+00, 3.3368e+01
1.1797e+00, 3.3363e+01
1.1914e+00, 3.3360e+01
1.2031e+00, 3.3359e+01
1.2148e+00, 3.3361e+01
1.2266e+00, 3.3364e+01
1.2500e+00, 3.3377e+01
1.2656e+00, 3.3390e+01
1.2812e+00, 3.3407e+01
1.3125e+00, 3.3451e+01
1.3438e+00, 3.3508e+01
1.3750e+00, 3.3578e+01
1.4062e+00, 3.3661e+01
