ebin, xs
1.0000e-05, 1.1489e+00
1.0625e-05, 1.1146e+00
1.1250e-05, 1.0832e+00
1.1875e-05, 1.0543e+00
1.2500e-05, 1.0276e+00
1.3750e-05, 9.7982e-01
1.5000e-05, 9.3810e-01
1.6250e-05, 9.0130e-01
1.7500e-05, 8.6851e-01
1.8750e-05, 8.3906e-01
2.0000e-05, 8.1242e-01
2.1875e-05, 7.7682e-01
2.3750e-05, 7.4553e-01
2.5625e-05, 7.1774e-01
2.7500e-05, 6.9283e-01
2.9375e-05, 6.7036e-01
3.1250e-05, 6.4994e-01
3.3125e-05, 6.3127e-01
3.5000e-05, 6.1413e-01
3.8750e-05, 5.8366e-01
4.2500e-05, 5.5732e-01
4.6250e-05, 5.3424e-01
5.0000e-05, 5.1382e-01
5.3125e-05, 4.9848e-01
5.6250e-05, 4.8443e-01
5.9375e-05, 4.7151e-01
6.2500e-05, 4.5957e-01
6.8750e-05, 4.3819e-01
7.5000e-05, 4.1953e-01
8.1250e-05, 4.0307e-01
8.7500e-05, 3.8841e-01
9.3750e-05, 3.7524e-01
1.0000e-04, 3.6333e-01
1.0625e-04, 3.5248e-01
1.1250e-04, 3.4255e-01
1.1875e-04, 3.3341e-01
1.2500e-04, 3.2497e-01
1.3750e-04, 3.0985e-01
1.5000e-04, 2.9665e-01
1.6250e-04, 2.8502e-01
1.7500e-04, 2.7465e-01
1.8750e-04, 2.6534e-01
2.0000e-04, 2.5691e-01
2.1875e-04, 2.4565e-01
2.3750e-04, 2.3576e-01
2.5625e-04, 2.2697e-01
2.7500e-04, 2.1909e-01
2.9375e-04, 2.1199e-01
3.1250e-04, 2.0553e-01
3.3125e-04, 1.9963e-01
3.5000e-04, 1.9421e-01
3.8750e-04, 1.8457e-01
4.2500e-04, 1.7624e-01
4.6250e-04, 1.6894e-01
5.0000e-04, 1.6248e-01
5.3125e-04, 1.5763e-01
5.6250e-04, 1.5319e-01
5.9375e-04, 1.4911e-01
6.2500e-04, 1.4533e-01
6.8750e-04, 1.3857e-01
7.5000e-04, 1.3267e-01
8.1250e-04, 1.2746e-01
8.7500e-04, 1.2283e-01
9.3750e-04, 1.1866e-01
1.0000e-03, 1.1490e-01
1.0625e-03, 1.1146e-01
1.1250e-03, 1.0832e-01
1.1875e-03, 1.0544e-01
1.2500e-03, 1.0277e-01
1.3750e-03, 9.7984e-02
1.5000e-03, 9.3813e-02
1.6250e-03, 9.0133e-02
1.7500e-03, 8.6854e-02
1.8750e-03, 8.3909e-02
2.0000e-03, 8.1245e-02
2.1875e-03, 7.7686e-02
2.3750e-03, 7.4556e-02
2.5625e-03, 7.1777e-02
2.7500e-03, 6.9288e-02
2.9375e-03, 6.7040e-02
3.1250e-03, 6.4998e-02
3.3125e-03, 6.3132e-02
3.5000e-03, 6.1418e-02
3.8750e-03, 5.8371e-02
4.2500e-03, 5.5737e-02
4.6250e-03, 5.3429e-02
5.0000e-03, 5.1387e-02
5.3125e-03, 4.9853e-02
5.6250e-03, 4.8448e-02
5.9375e-03, 4.7156e-02
6.2500e-03, 4.5963e-02
6.8750e-03, 4.3824e-02
7.5000e-03, 4.1958e-02
8.1250e-03, 4.0312e-02
8.7500e-03, 3.8846e-02
9.3750e-03, 3.7529e-02
1.0000e-02, 3.6337e-02
1.0625e-02, 3.5253e-02
1.1250e-02, 3.4260e-02
1.1875e-02, 3.3347e-02
1.2500e-02, 3.2504e-02
1.3750e-02, 3.0992e-02
1.5000e-02, 2.9673e-02
1.6250e-02, 2.8509e-02
1.7500e-02, 2.7472e-02
1.8750e-02, 2.6541e-02
2.0000e-02, 2.5698e-02
2.1325e-02, 2.4887e-02
2.2650e-02, 2.4148e-02
2.3975e-02, 2.3473e-02
2.5300e-02, 2.2851e-02
2.6844e-02, 2.2186e-02
2.8387e-02, 2.1576e-02
3.1475e-02, 2.0493e-02
3.4563e-02, 1.9557e-02
3.7650e-02, 1.8738e-02
4.0738e-02, 1.8014e-02
4.3825e-02, 1.7368e-02
4.6913e-02, 1.6787e-02
5.0000e-02, 1.6261e-02
5.3125e-02, 1.5776e-02
5.6250e-02, 1.5333e-02
5.9375e-02, 1.4925e-02
6.2500e-02, 1.4549e-02
6.8750e-02, 1.3875e-02
7.5000e-02, 1.3285e-02
8.1250e-02, 1.2765e-02
8.7500e-02, 1.2301e-02
9.3750e-02, 1.1885e-02
1.0000e-01, 1.1508e-02
1.0625e-01, 1.1165e-02
1.1250e-01, 1.0852e-02
1.1875e-01, 1.0564e-02
1.2500e-01, 1.0299e-02
1.3750e-01, 9.8230e-03
1.5000e-01, 9.4063e-03
1.6250e-01, 9.0387e-03
1.7500e-01, 8.7114e-03
1.8750e-01, 8.4177e-03
2.0000e-01, 8.1528e-03
2.1875e-01, 7.7987e-03
2.3750e-01, 7.4865e-03
2.5625e-01, 7.2093e-03
2.7500e-01, 6.9612e-03
2.9375e-01, 6.7373e-03
3.1250e-01, 6.5340e-03
3.3125e-01, 6.3485e-03
3.5000e-01, 6.1793e-03
3.8750e-01, 5.8774e-03
4.2500e-01, 5.6153e-03
5.0000e-01, 5.1842e-03
6.2500e-01, 4.6470e-03
7.5000e-01, 4.2507e-03
8.7500e-01, 3.9445e-03
1.0000e+00, 3.6983e-03
1.2500e+00, 3.3216e-03
1.5000e+00, 3.0450e-03
1.7500e+00, 2.8316e-03
2.0000e+00, 2.6603e-03
2.3750e+00, 2.4571e-03
2.7500e+00, 2.2985e-03
3.1250e+00, 2.1700e-03
3.5000e+00, 2.0637e-03
4.2500e+00, 1.8970e-03
5.0000e+00, 1.7716e-03
6.2500e+00, 1.6189e-03
7.5000e+00, 1.5097e-03
8.7500e+00, 1.4278e-03
1.0000e+01, 1.3642e-03
1.2500e+01, 1.2726e-03
1.5000e+01, 1.2114e-03
1.7500e+01, 1.1692e-03
2.0000e+01, 1.1399e-03
2.3750e+01, 1.1125e-03
2.7500e+01, 1.0991e-03
3.1250e+01, 1.0955e-03
3.5000e+01, 1.0996e-03
4.2500e+01, 1.1248e-03
5.0000e+01, 1.1680e-03
6.2500e+01, 1.2720e-03
7.5000e+01, 1.4133e-03
8.7500e+01, 1.5943e-03
1.0000e+02, 1.8212e-03
1.1250e+02, 2.1045e-03
1.2500e+02, 2.4594e-03
1.3125e+02, 2.6702e-03
1.3750e+02, 2.9082e-03
1.4375e+02, 3.1775e-03
1.5000e+02, 3.4836e-03
1.5625e+02, 3.8329e-03
1.6250e+02, 4.2336e-03
1.6875e+02, 4.6959e-03
1.7500e+02, 5.2323e-03
1.8125e+02, 5.8591e-03
1.8750e+02, 6.5972e-03
1.9375e+02, 7.4737e-03
2.0000e+02, 8.5245e-03
2.0551e+02, 9.6423e-03
2.1102e+02, 1.0985e-02
2.1653e+02, 1.2606e-02
2.1929e+02, 1.3490e-02
2.2205e+02, 1.4518e-02
2.2756e+02, 1.6957e-02
2.3307e+02, 2.0030e-02
2.3582e+02, 2.1868e-02
2.3858e+02, 2.3954e-02
2.4134e+02, 2.6335e-02
2.4409e+02, 2.9081e-02
2.4744e+02, 3.3032e-02
2.5078e+02, 3.7822e-02
2.5413e+02, 4.3703e-02
2.5748e+02, 5.1024e-02
2.5915e+02, 5.5328e-02
2.6082e+02, 6.0291e-02
2.6250e+02, 6.5731e-02
2.6417e+02, 7.1941e-02
2.6584e+02, 7.9184e-02
2.6751e+02, 8.7553e-02
2.6919e+02, 9.7296e-02
2.7086e+02, 1.0873e-01
2.7263e+02, 1.2315e-01
2.7440e+02, 1.4060e-01
2.7618e+02, 1.6197e-01
2.7706e+02, 1.7436e-01
2.7795e+02, 1.8850e-01
2.7883e+02, 2.0406e-01
2.7972e+02, 2.2195e-01
2.8060e+02, 2.4200e-01
2.8149e+02, 2.6490e-01
2.8238e+02, 2.9060e-01
2.8326e+02, 3.2086e-01
2.8415e+02, 3.5611e-01
2.8503e+02, 3.9743e-01
2.8597e+02, 4.4929e-01
2.8690e+02, 5.1191e-01
2.8784e+02, 5.8849e-01
2.8877e+02, 6.8347e-01
2.8971e+02, 8.0330e-01
2.9018e+02, 8.7535e-01
2.9064e+02, 9.5738e-01
2.9111e+02, 1.0508e+00
2.9158e+02, 1.1579e+00
2.9205e+02, 1.2833e+00
2.9251e+02, 1.4306e+00
2.9301e+02, 1.6150e+00
2.9350e+02, 1.8373e+00
2.9399e+02, 2.1089e+00
2.9448e+02, 2.4455e+00
2.9497e+02, 2.8696e+00
2.9522e+02, 3.1243e+00
2.9547e+02, 3.4140e+00
2.9571e+02, 3.7455e+00
2.9596e+02, 4.1268e+00
2.9620e+02, 4.5697e+00
2.9645e+02, 5.0892e+00
2.9672e+02, 5.7725e+00
2.9699e+02, 6.6056e+00
2.9726e+02, 7.6353e+00
2.9753e+02, 8.9290e+00
2.9767e+02, 9.7050e+00
2.9780e+02, 1.0588e+01
2.9794e+02, 1.1598e+01
2.9807e+02, 1.2763e+01
2.9821e+02, 1.4116e+01
2.9834e+02, 1.5701e+01
2.9848e+02, 1.7577e+01
2.9862e+02, 1.9825e+01
2.9875e+02, 2.2557e+01
2.9889e+02, 2.5929e+01
2.9902e+02, 3.0178e+01
2.9909e+02, 3.2739e+01
2.9916e+02, 3.5667e+01
2.9922e+02, 3.9051e+01
2.9929e+02, 4.2985e+01
2.9936e+02, 4.7617e+01
2.9943e+02, 5.3110e+01
2.9949e+02, 5.9708e+01
2.9956e+02, 6.7685e+01
2.9963e+02, 7.7440e+01
2.9970e+02, 8.9408e+01
2.9977e+02, 1.0571e+02
2.9981e+02, 1.1537e+02
